,SQL,AWS,Artificial Intelligence,Machine Learning,Power BI,PySpark,Cloud,ELT,ETL,SQL Server
SQL,0.0,33.11965811965812,17.307692307692307,17.735042735042736,25.85470085470086,13.675213675213676,13.461538461538462,14.316239316239315,14.316239316239315,16.45299145299145
AWS,72.09302325581395,0.0,28.837209302325583,26.51162790697674,13.488372093023257,14.883720930232558,20.46511627906977,17.209302325581397,17.209302325581397,12.558139534883722
Artificial Intelligence,52.25806451612903,40.0,0.0,54.83870967741935,14.838709677419354,13.548387096774196,14.838709677419354,14.193548387096774,14.193548387096774,5.161290322580645
Machine Learning,60.14492753623188,41.30434782608695,61.59420289855072,0.0,14.492753623188406,15.217391304347828,16.666666666666664,11.594202898550725,11.594202898550725,3.6231884057971016
Power BI,87.68115942028986,21.014492753623188,16.666666666666664,14.492753623188406,0.0,10.869565217391305,9.420289855072465,13.043478260869565,13.043478260869565,15.942028985507244
PySpark,77.10843373493977,38.55421686746988,25.301204819277107,25.301204819277107,18.072289156626507,0.0,12.048192771084338,18.072289156626507,18.072289156626507,8.433734939759036
Cloud,77.77777777777779,54.32098765432099,28.39506172839506,28.39506172839506,16.049382716049383,12.345679012345679,0.0,22.22222222222222,22.22222222222222,9.876543209876543
ELT,84.81012658227847,46.835443037974684,27.848101265822784,20.253164556962027,22.78481012658228,18.9873417721519,22.78481012658228,0.0,100.0,10.126582278481013
ETL,84.81012658227847,46.835443037974684,27.848101265822784,20.253164556962027,22.78481012658228,18.9873417721519,22.78481012658228,100.0,0.0,10.126582278481013
SQL Server,100.0,35.064935064935064,10.38961038961039,6.493506493506493,28.57142857142857,9.090909090909092,10.38961038961039,10.38961038961039,10.38961038961039,0.0
