,SQL,AWS,Artificial Intelligence,Machine Learning,Power BI,PySpark,SQL Server,Cloud,ETL,ELT
SQL,0.0,33.6283185840708,19.469026548672566,19.911504424778762,23.008849557522122,14.823008849557523,17.47787610619469,13.938053097345133,15.265486725663715,15.265486725663715
AWS,70.69767441860465,0.0,31.16279069767442,28.837209302325583,13.023255813953488,13.488372093023257,11.627906976744185,21.3953488372093,17.674418604651162,17.674418604651162
Artificial Intelligence,53.65853658536586,40.853658536585364,0.0,57.3170731707317,12.195121951219512,14.634146341463413,8.536585365853659,14.634146341463413,13.414634146341465,13.414634146341465
Machine Learning,60.810810810810814,41.891891891891895,63.51351351351351,0.0,12.162162162162163,15.54054054054054,7.4324324324324325,16.89189189189189,10.81081081081081,10.81081081081081
Power BI,86.66666666666667,23.333333333333332,16.666666666666664,15.0,0.0,12.5,17.5,10.833333333333334,12.5,12.5
PySpark,79.76190476190477,34.523809523809526,28.57142857142857,27.380952380952383,17.857142857142858,0.0,8.333333333333332,10.714285714285714,19.047619047619047,19.047619047619047
SQL Server,98.75,31.25,17.5,13.750000000000002,26.25,8.75,0.0,10.0,8.75,8.75
Cloud,78.75,57.49999999999999,30.0,31.25,16.25,11.25,10.0,0.0,22.5,22.5
ETL,87.34177215189874,48.10126582278481,27.848101265822784,20.253164556962027,18.9873417721519,20.253164556962027,8.860759493670885,22.78481012658228,0.0,100.0
ELT,87.34177215189874,48.10126582278481,27.848101265822784,20.253164556962027,18.9873417721519,20.253164556962027,8.860759493670885,22.78481012658228,100.0,0.0
