word,count
ability work,97
apache airflow,67
apache spark,98
azure data,136
azure data factory,82
azure databricks,78
big data,262
business intelligence,74
business stakeholders,70
cloud based,86
cloud data,69
cloud platform,67
complex data,83
computer science,103
cross functional,163
cross functional teams,101
cutting edge,123
data analysis,119
data analytics,136
data architecture,101
data assets,90
data driven,141
data engineer,272
data engineering,246
data engineers,81
data factory,96
data governance,178
data integration,87
data lake,115
data management,144
data modeling,165
data models,123
data pipelines,281
data platform,134
data processing,178
data quality,188
data science,210
data scientist,72
data scientists,93
data solutions,98
data sources,80
data transformation,67
data warehouse,86
data warehousing,79
decision making,89
design implement,76
develop maintain,78
ensure data,92
etl elt,123
excellent communication,83
flexible working,95
flexible working hours,75
functional teams,105
google cloud,118
hybrid work,77
knowledge data,75
large scale,91
life insurance,74
long term,98
machine learning,202
medical care,102
mile widziane,91
multisport card,74
pl sql,67
power bi,232
private medical,93
private medical care,73
problem solving,145
python sql,81
real time,82
related field,69
remote work,89
scalable data,95
senior data,94
sql server,79
team members,79
tools like,81
understanding data,101
work model,76
working hours,101
