,SQL,Power BI,AWS,SQL Server,Artificial Intelligence,Azure Synapse Analytics,Machine Learning,PySpark,Power Query,Azure
SQL,0.0,57.74647887323944,18.30985915492958,14.084507042253522,5.633802816901409,9.859154929577464,9.859154929577464,8.450704225352112,9.859154929577464,7.042253521126761
Power BI,89.13043478260869,0.0,15.217391304347828,21.73913043478261,6.521739130434782,13.043478260869565,6.521739130434782,2.1739130434782608,15.217391304347828,10.869565217391305
AWS,100.0,53.84615384615385,0.0,7.6923076923076925,15.384615384615385,7.6923076923076925,15.384615384615385,7.6923076923076925,7.6923076923076925,15.384615384615385
SQL Server,100.0,100.0,10.0,0.0,0.0,20.0,10.0,0.0,40.0,20.0
Artificial Intelligence,40.0,30.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0
Azure Synapse Analytics,87.5,75.0,12.5,25.0,0.0,0.0,12.5,0.0,25.0,0.0
Machine Learning,100.0,42.857142857142854,28.57142857142857,14.285714285714285,14.285714285714285,14.285714285714285,0.0,0.0,0.0,14.285714285714285
PySpark,85.71428571428571,14.285714285714285,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
Power Query,100.0,100.0,14.285714285714285,57.14285714285714,0.0,28.57142857142857,0.0,0.0,0.0,0.0
Azure,71.42857142857143,71.42857142857143,28.57142857142857,28.57142857142857,28.57142857142857,0.0,14.285714285714285,0.0,0.0,0.0
