,SQL,Power BI,AWS,Artificial Intelligence,SQL Server,Machine Learning,ETL,ELT,Power Query,Azure
SQL,0.0,55.434782608695656,20.652173913043477,11.956521739130435,16.304347826086957,13.043478260869565,10.869565217391305,10.869565217391305,10.869565217391305,6.521739130434782
Power BI,94.44444444444444,0.0,18.51851851851852,5.555555555555555,16.666666666666664,3.7037037037037033,11.11111111111111,11.11111111111111,18.51851851851852,9.25925925925926
AWS,100.0,52.63157894736842,0.0,10.526315789473683,10.526315789473683,10.526315789473683,26.31578947368421,26.31578947368421,5.263157894736842,10.526315789473683
Artificial Intelligence,73.33333333333333,20.0,13.333333333333334,0.0,40.0,46.666666666666664,6.666666666666667,6.666666666666667,0.0,13.333333333333334
SQL Server,100.0,60.0,13.333333333333334,40.0,0.0,40.0,0.0,0.0,26.666666666666668,6.666666666666667
Machine Learning,100.0,16.666666666666664,16.666666666666664,58.333333333333336,50.0,0.0,0.0,0.0,0.0,8.333333333333332
ETL,83.33333333333334,50.0,41.66666666666667,8.333333333333332,0.0,0.0,0.0,100.0,0.0,0.0
ELT,83.33333333333334,50.0,41.66666666666667,8.333333333333332,0.0,0.0,100.0,0.0,0.0,0.0
Power Query,100.0,100.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0
Azure,75.0,62.5,25.0,25.0,12.5,12.5,0.0,0.0,12.5,0.0
