word,count
ability,67
advanced,43
analysis,91
analyst,46
analytical,50
analytics,137
azure,67
based,56
bi,163
build,50
building,48
business,250
client,55
cloud,80
collaborate,48
communication,48
company,65
complex,68
create,42
customer,46
data,898
data analysis,47
design,57
develop,52
development,95
driven,55
ensure,50
environment,54
etl,45
familiarity,47
financial,58
global,59
help,46
including,56
industry,55
insights,65
join,50
key,61
knowledge,98
learning,44
looking,47
management,71
models,43
needs,49
new,55
offer,51
office,62
opportunities,43
people,53
performance,46
platform,65
power,128
power bi,103
process,51
processes,47
product,73
project,56
projects,58
python,70
quality,67
related,46
reporting,49
reports,46
requirements,69
responsibilities,45
services,60
solutions,122
sql,143
stakeholders,67
strong,99
support,103
team,129
teams,87
technical,105
tools,93
training,46
understanding,55
using,43
work,197
working,97
