,AWS,SQL,Artificial Intelligence,Machine Learning,ETL,ELT,Azure Data Factory,SQL Server,MySQL,GCP
AWS,0.0,55.00000000000001,50.0,45.0,20.0,20.0,15.0,25.0,15.0,15.0
SQL,61.111111111111114,0.0,22.22222222222222,16.666666666666664,16.666666666666664,16.666666666666664,22.22222222222222,33.33333333333333,27.77777777777778,16.666666666666664
Artificial Intelligence,66.66666666666666,26.666666666666668,0.0,60.0,20.0,20.0,6.666666666666667,20.0,6.666666666666667,20.0
Machine Learning,69.23076923076923,23.076923076923077,69.23076923076923,0.0,15.384615384615385,15.384615384615385,23.076923076923077,15.384615384615385,15.384615384615385,23.076923076923077
ETL,66.66666666666666,50.0,50.0,33.33333333333333,0.0,100.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664
ELT,66.66666666666666,50.0,50.0,33.33333333333333,100.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664
Azure Data Factory,50.0,66.66666666666666,16.666666666666664,50.0,16.666666666666664,16.666666666666664,0.0,50.0,33.33333333333333,33.33333333333333
SQL Server,83.33333333333334,100.0,50.0,33.33333333333333,16.666666666666664,16.666666666666664,50.0,0.0,50.0,50.0
MySQL,60.0,100.0,20.0,40.0,0.0,0.0,40.0,60.0,0.0,60.0
GCP,60.0,60.0,60.0,60.0,20.0,20.0,40.0,60.0,60.0,0.0
