,AWS,SQL,Artificial Intelligence,Machine Learning,ELT,ETL,SQL Server,Azure Data Factory,Azure,Power BI
AWS,0.0,52.0,48.0,40.0,20.0,20.0,20.0,12.0,12.0,12.0
SQL,59.09090909090909,0.0,36.36363636363637,22.727272727272727,22.727272727272727,22.727272727272727,27.27272727272727,18.181818181818183,9.090909090909092,13.636363636363635
Artificial Intelligence,66.66666666666666,44.44444444444444,0.0,55.55555555555556,22.22222222222222,22.22222222222222,16.666666666666664,5.555555555555555,16.666666666666664,22.22222222222222
Machine Learning,71.42857142857143,35.714285714285715,71.42857142857143,0.0,14.285714285714285,14.285714285714285,14.285714285714285,21.428571428571427,21.428571428571427,0.0
ELT,71.42857142857143,71.42857142857143,57.14285714285714,28.57142857142857,0.0,100.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285
ETL,71.42857142857143,71.42857142857143,57.14285714285714,28.57142857142857,100.0,0.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285
SQL Server,83.33333333333334,100.0,50.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,50.0,0.0,16.666666666666664
Azure Data Factory,50.0,66.66666666666666,16.666666666666664,50.0,16.666666666666664,16.666666666666664,50.0,0.0,33.33333333333333,0.0
Azure,50.0,33.33333333333333,50.0,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664
Power BI,60.0,60.0,80.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0
