,Azure,Cloud,Databricks,AWS,Artificial Intelligence,Python,ETL,Data Modeling,SQL,Machine Learning
Azure,0.0,65.38461538461539,73.07692307692307,53.84615384615385,53.84615384615385,46.15384615384615,38.46153846153847,46.15384615384615,38.46153846153847,38.46153846153847
Cloud,68.0,0.0,52.0,60.0,52.0,40.0,40.0,56.00000000000001,40.0,40.0
Databricks,82.6086956521739,56.52173913043478,0.0,52.17391304347826,56.52173913043478,52.17391304347826,43.47826086956522,43.47826086956522,43.47826086956522,34.78260869565217
AWS,63.63636363636363,68.18181818181817,54.54545454545454,0.0,54.54545454545454,50.0,36.36363636363637,50.0,40.909090909090914,45.45454545454545
Artificial Intelligence,70.0,65.0,65.0,60.0,0.0,50.0,40.0,55.00000000000001,35.0,55.00000000000001
Python,66.66666666666666,55.55555555555556,66.66666666666666,61.111111111111114,55.55555555555556,0.0,55.55555555555556,55.55555555555556,66.66666666666666,50.0
ETL,58.82352941176471,58.82352941176471,58.82352941176471,47.05882352941176,47.05882352941176,58.82352941176471,0.0,52.94117647058824,64.70588235294117,29.411764705882355
Data Modeling,70.58823529411765,82.35294117647058,58.82352941176471,64.70588235294117,64.70588235294117,58.82352941176471,52.94117647058824,0.0,58.82352941176471,41.17647058823529
SQL,62.5,62.5,62.5,56.25,43.75,75.0,68.75,62.5,0.0,25.0
Machine Learning,66.66666666666666,66.66666666666666,53.333333333333336,66.66666666666666,73.33333333333333,60.0,33.33333333333333,46.666666666666664,26.666666666666668,0.0
