word,count
10,16
ai,30
analytics,20
architect,37
architecture,51
architektury,17
aws,27
azure,50
b2b,16
based,25
big,22
big data,21
business,56
client,17
cloud,61
communication,16
company,18
data,445
data architecture,23
data governance,20
data modeling,19
databricks,32
dbt,19
define,18
design,46
designing,16
develop,16
development,33
end,16
engineering,25
ensure,24
enterprise,22
etl,27
expertise,16
global,18
governance,32
including,24
integration,16
klienta,16
knowledge,32
like,19
management,36
migration,19
modeling,25
np,19
pipelines,17
platform,47
platforms,22
practices,23
processes,19
project,24
projects,29
python,21
quality,18
remote,17
scalable,19
security,20
services,19
snowflake,34
solutions,66
sql,43
stakeholders,17
standards,17
strong,21
support,27
systems,20
systemów,20
team,53
teams,24
technical,38
technologies,23
technology,22
tools,20
transformation,17
tworzenie,16
understanding,21
using,21
vault,20
work,56
working,23
