,SQL,AWS,PySpark,Cloud,ETL,ELT,Artificial Intelligence,GCP,Power BI,Azure
SQL,0.0,35.11111111111111,20.88888888888889,20.0,20.0,20.0,11.11111111111111,17.77777777777778,17.333333333333336,15.555555555555555
AWS,69.2982456140351,0.0,21.052631578947366,21.929824561403507,21.052631578947366,21.052631578947366,19.298245614035086,16.666666666666664,9.649122807017543,5.263157894736842
PySpark,78.33333333333333,40.0,0.0,13.333333333333334,20.0,20.0,15.0,6.666666666666667,13.333333333333334,15.0
Cloud,76.27118644067797,42.3728813559322,13.559322033898304,0.0,20.33898305084746,20.33898305084746,15.254237288135593,38.983050847457626,13.559322033898304,15.254237288135593
ETL,81.81818181818183,43.63636363636363,21.818181818181817,21.818181818181817,0.0,100.0,20.0,16.363636363636363,18.181818181818183,10.909090909090908
ELT,81.81818181818183,43.63636363636363,21.818181818181817,21.818181818181817,100.0,0.0,20.0,16.363636363636363,18.181818181818183,10.909090909090908
Artificial Intelligence,46.2962962962963,40.74074074074074,16.666666666666664,16.666666666666664,20.37037037037037,20.37037037037037,0.0,9.25925925925926,7.4074074074074066,14.814814814814813
GCP,86.95652173913044,41.30434782608695,8.695652173913043,50.0,19.565217391304348,19.565217391304348,10.869565217391305,0.0,17.391304347826086,10.869565217391305
Power BI,86.66666666666667,24.444444444444443,17.77777777777778,17.77777777777778,22.22222222222222,22.22222222222222,8.88888888888889,17.77777777777778,0.0,35.55555555555556
Azure,83.33333333333334,14.285714285714285,21.428571428571427,21.428571428571427,14.285714285714285,14.285714285714285,19.047619047619047,11.904761904761903,38.095238095238095,0.0
