,SQL,AWS,PySpark,Artificial Intelligence,Cloud,ELT,ETL,Machine Learning,Azure Data Factory,Azure
SQL,0.0,40.29126213592233,25.24271844660194,16.50485436893204,20.87378640776699,21.35922330097087,21.35922330097087,14.563106796116504,17.96116504854369,14.077669902912621
AWS,74.77477477477478,0.0,21.62162162162162,21.62162162162162,22.52252252252252,20.72072072072072,20.72072072072072,18.91891891891892,7.207207207207207,5.405405405405405
PySpark,83.87096774193549,38.70967741935484,0.0,25.806451612903224,14.516129032258066,19.35483870967742,19.35483870967742,19.35483870967742,32.25806451612903,14.516129032258066
Artificial Intelligence,62.96296296296296,44.44444444444444,29.629629629629626,0.0,12.962962962962962,22.22222222222222,22.22222222222222,37.03703703703704,20.37037037037037,16.666666666666664
Cloud,87.75510204081633,51.02040816326531,18.367346938775512,14.285714285714285,0.0,20.408163265306122,20.408163265306122,18.367346938775512,8.16326530612245,20.408163265306122
ELT,93.61702127659575,48.93617021276596,25.53191489361702,25.53191489361702,21.27659574468085,0.0,100.0,19.148936170212767,25.53191489361702,14.893617021276595
ETL,93.61702127659575,48.93617021276596,25.53191489361702,25.53191489361702,21.27659574468085,100.0,0.0,19.148936170212767,25.53191489361702,14.893617021276595
Machine Learning,69.76744186046511,48.837209302325576,27.906976744186046,46.51162790697674,20.930232558139537,20.930232558139537,20.930232558139537,0.0,18.6046511627907,20.930232558139537
Azure Data Factory,92.5,20.0,50.0,27.500000000000004,10.0,30.0,30.0,20.0,0.0,32.5
Azure,78.37837837837837,16.216216216216218,24.324324324324326,24.324324324324326,27.027027027027028,18.91891891891892,18.91891891891892,24.324324324324326,35.13513513513514,0.0
