word,count
ability work,41
apache airflow,44
apache spark,61
azure data,91
azure data factory,55
azure databricks,42
azure devops,40
big data,138
build maintain,35
cd pipelines,38
cloud based,48
cloud data,42
cloud platform,39
cloud platforms,41
cloud services,37
complex data,35
computer science,41
cross functional,87
cross functional teams,57
cutting edge,50
data analytics,60
data architecture,42
data driven,58
data engineer,244
data engineer join,41
data engineering,197
data factory,66
data governance,84
data integration,61
data lake,77
data management,46
data modeling,97
data models,57
data pipelines,230
data platform,69
data processing,126
data products,35
data quality,91
data scientists,47
data solutions,70
data sources,41
data systems,36
data transformation,43
data warehouse,43
data warehousing,48
decision making,35
design build,49
design implement,44
designing implementing,35
develop maintain,46
docker kubernetes,37
engineer join,49
ensure data,48
etl elt,66
etl processes,39
excellent communication,36
flexible working,45
flexible working hours,34
functional teams,58
google cloud,56
knowledge data,34
large scale,42
medical care,44
optimize data,37
pipelines using,42
private medical,39
problem solving,62
python sql,48
real time,54
remote work,41
scalable data,73
scalable data pipelines,40
senior data,57
senior data engineer,47
team members,43
tools like,38
understanding data,53
version control,35
work closely,36
working hours,46
