,Machine Learning,Artificial Intelligence,SQL,AWS,LLMs,NLP,Deep Learning,GCP,PySpark,Cloud
Machine Learning,0.0,67.64705882352942,64.70588235294117,39.705882352941174,22.058823529411764,20.588235294117645,19.11764705882353,13.23529411764706,11.76470588235294,11.76470588235294
Artificial Intelligence,85.18518518518519,0.0,57.407407407407405,42.592592592592595,27.77777777777778,20.37037037037037,18.51851851851852,12.962962962962962,9.25925925925926,14.814814814814813
SQL,88.0,62.0,0.0,42.0,20.0,26.0,14.000000000000002,14.000000000000002,6.0,12.0
AWS,79.41176470588235,67.64705882352942,61.76470588235294,0.0,29.411764705882355,20.588235294117645,17.647058823529413,14.705882352941178,5.88235294117647,17.647058823529413
LLMs,93.75,93.75,62.5,62.5,0.0,37.5,12.5,6.25,6.25,18.75
NLP,100.0,78.57142857142857,92.85714285714286,50.0,42.857142857142854,0.0,14.285714285714285,7.142857142857142,7.142857142857142,35.714285714285715
Deep Learning,100.0,76.92307692307693,53.84615384615385,46.15384615384615,15.384615384615385,15.384615384615385,0.0,15.384615384615385,15.384615384615385,15.384615384615385
GCP,90.0,70.0,70.0,50.0,10.0,10.0,20.0,0.0,0.0,20.0
PySpark,88.88888888888889,55.55555555555556,33.33333333333333,22.22222222222222,11.11111111111111,11.11111111111111,22.22222222222222,0.0,0.0,0.0
Cloud,88.88888888888889,88.88888888888889,66.66666666666666,66.66666666666666,33.33333333333333,55.55555555555556,22.22222222222222,22.22222222222222,0.0,0.0
