,Machine Learning,Artificial Intelligence,SQL,AWS,LLMs,NLP,Deep Learning,GCP,Cloud,Power BI
Machine Learning,0.0,68.65671641791045,62.68656716417911,37.3134328358209,22.388059701492537,20.8955223880597,19.402985074626866,13.432835820895523,13.432835820895523,8.955223880597014
Artificial Intelligence,83.63636363636363,0.0,54.54545454545454,40.0,29.09090909090909,21.818181818181817,20.0,12.727272727272727,16.363636363636363,7.2727272727272725
SQL,82.35294117647058,58.82352941176471,0.0,41.17647058823529,19.607843137254903,27.450980392156865,13.725490196078432,13.725490196078432,13.725490196078432,15.686274509803921
AWS,75.75757575757575,66.66666666666666,63.63636363636363,0.0,30.303030303030305,24.242424242424242,18.181818181818183,15.151515151515152,21.21212121212121,9.090909090909092
LLMs,88.23529411764706,94.11764705882352,58.82352941176471,58.82352941176471,0.0,41.17647058823529,11.76470588235294,5.88235294117647,17.647058823529413,5.88235294117647
NLP,93.33333333333333,80.0,93.33333333333333,53.333333333333336,46.666666666666664,0.0,13.333333333333334,6.666666666666667,33.33333333333333,6.666666666666667
Deep Learning,100.0,84.61538461538461,53.84615384615385,46.15384615384615,15.384615384615385,15.384615384615385,0.0,15.384615384615385,15.384615384615385,23.076923076923077
GCP,90.0,70.0,70.0,50.0,10.0,10.0,20.0,0.0,20.0,20.0
Cloud,90.0,90.0,70.0,70.0,30.0,50.0,20.0,20.0,0.0,0.0
Power BI,66.66666666666666,44.44444444444444,88.88888888888889,33.33333333333333,11.11111111111111,11.11111111111111,33.33333333333333,22.22222222222222,0.0,0.0
