,Machine Learning,Artificial Intelligence,SQL,AWS,LLMs,NLP,Deep Learning,Cloud,PySpark,GCP
Machine Learning,0.0,68.65671641791045,61.19402985074627,40.298507462686565,22.388059701492537,19.402985074626866,22.388059701492537,13.432835820895523,13.432835820895523,10.44776119402985
Artificial Intelligence,85.18518518518519,0.0,57.407407407407405,48.148148148148145,29.629629629629626,24.074074074074073,22.22222222222222,16.666666666666664,9.25925925925926,12.962962962962962
SQL,82.0,62.0,0.0,44.0,22.0,24.0,18.0,14.000000000000002,8.0,10.0
AWS,77.14285714285715,74.28571428571429,62.857142857142854,0.0,34.285714285714285,28.57142857142857,20.0,22.857142857142858,5.714285714285714,11.428571428571429
LLMs,88.23529411764706,94.11764705882352,64.70588235294117,70.58823529411765,0.0,35.294117647058826,11.76470588235294,11.76470588235294,5.88235294117647,5.88235294117647
NLP,86.66666666666667,86.66666666666667,80.0,66.66666666666666,40.0,0.0,20.0,33.33333333333333,6.666666666666667,0.0
Deep Learning,100.0,80.0,60.0,46.666666666666664,13.333333333333334,20.0,0.0,20.0,20.0,13.333333333333334
Cloud,90.0,90.0,70.0,80.0,20.0,50.0,30.0,0.0,0.0,20.0
PySpark,90.0,50.0,40.0,20.0,10.0,10.0,30.0,0.0,0.0,0.0
GCP,87.5,87.5,62.5,50.0,12.5,0.0,25.0,25.0,0.0,0.0
