,SQL,SQL Server,Oracle,PostgreSQL,MySQL,AWS,Power BI,Databases,T-SQL,Artificial Intelligence
SQL,0.0,52.17391304347826,50.0,32.608695652173914,30.434782608695656,17.391304347826086,15.217391304347828,15.217391304347828,13.043478260869565,6.521739130434782
SQL Server,100.0,0.0,41.66666666666667,37.5,54.166666666666664,33.33333333333333,8.333333333333332,20.833333333333336,25.0,4.166666666666666
Oracle,100.0,43.47826086956522,0.0,47.82608695652174,26.08695652173913,8.695652173913043,8.695652173913043,26.08695652173913,13.043478260869565,4.3478260869565215
PostgreSQL,100.0,60.0,73.33333333333333,0.0,46.666666666666664,13.333333333333334,6.666666666666667,46.666666666666664,13.333333333333334,13.333333333333334
MySQL,100.0,92.85714285714286,42.857142857142854,50.0,0.0,50.0,0.0,21.428571428571427,7.142857142857142,7.142857142857142
AWS,100.0,100.0,25.0,25.0,87.5,0.0,0.0,0.0,12.5,0.0
Power BI,87.5,25.0,25.0,12.5,0.0,0.0,0.0,0.0,25.0,12.5
Databases,100.0,71.42857142857143,85.71428571428571,100.0,42.857142857142854,0.0,0.0,0.0,0.0,14.285714285714285
T-SQL,100.0,100.0,50.0,33.33333333333333,16.666666666666664,16.666666666666664,33.33333333333333,0.0,0.0,0.0
Artificial Intelligence,75.0,25.0,25.0,50.0,25.0,0.0,25.0,25.0,0.0,0.0
