,SQL,SQL Server,Oracle,PostgreSQL,MySQL,Power BI,AWS,Databases,T-SQL,Azure SQL
SQL,0.0,51.02040816326531,48.97959183673469,36.734693877551024,28.57142857142857,16.3265306122449,16.3265306122449,14.285714285714285,14.285714285714285,10.204081632653061
SQL Server,100.0,0.0,36.0,40.0,52.0,12.0,32.0,20.0,28.000000000000004,16.0
Oracle,100.0,37.5,0.0,50.0,25.0,8.333333333333332,8.333333333333332,25.0,8.333333333333332,4.166666666666666
PostgreSQL,100.0,55.55555555555556,66.66666666666666,0.0,38.88888888888889,11.11111111111111,11.11111111111111,38.88888888888889,16.666666666666664,16.666666666666664
MySQL,100.0,92.85714285714286,42.857142857142854,50.0,0.0,0.0,50.0,21.428571428571427,7.142857142857142,7.142857142857142
Power BI,88.88888888888889,33.33333333333333,22.22222222222222,22.22222222222222,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
AWS,100.0,100.0,25.0,25.0,87.5,0.0,0.0,0.0,12.5,12.5
Databases,100.0,71.42857142857143,85.71428571428571,100.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0
T-SQL,100.0,100.0,28.57142857142857,42.857142857142854,14.285714285714285,42.857142857142854,14.285714285714285,0.0,0.0,57.14285714285714
Azure SQL,100.0,80.0,20.0,60.0,20.0,60.0,20.0,0.0,80.0,0.0
