,SQL,SQL Server,Oracle,PostgreSQL,MySQL,Power BI,T-SQL,Azure SQL,AWS,Databases
SQL,0.0,52.17391304347826,50.0,41.30434782608695,23.91304347826087,17.391304347826086,17.391304347826086,13.043478260869565,13.043478260869565,13.043478260869565
SQL Server,100.0,0.0,37.5,50.0,41.66666666666667,16.666666666666664,33.33333333333333,20.833333333333336,25.0,20.833333333333336
Oracle,100.0,39.130434782608695,0.0,47.82608695652174,26.08695652173913,8.695652173913043,8.695652173913043,4.3478260869565215,8.695652173913043,21.73913043478261
PostgreSQL,100.0,63.1578947368421,57.89473684210527,0.0,36.84210526315789,15.789473684210526,21.052631578947366,21.052631578947366,10.526315789473683,31.57894736842105
MySQL,100.0,90.9090909090909,54.54545454545454,63.63636363636363,0.0,0.0,9.090909090909092,9.090909090909092,45.45454545454545,27.27272727272727
Power BI,88.88888888888889,44.44444444444444,22.22222222222222,33.33333333333333,0.0,0.0,44.44444444444444,44.44444444444444,0.0,0.0
T-SQL,100.0,100.0,25.0,50.0,12.5,50.0,0.0,62.5,12.5,0.0
Azure SQL,100.0,83.33333333333334,16.666666666666664,66.66666666666666,16.666666666666664,66.66666666666666,83.33333333333334,0.0,16.666666666666664,0.0
AWS,100.0,100.0,33.33333333333333,33.33333333333333,83.33333333333334,0.0,16.666666666666664,16.666666666666664,0.0,0.0
Databases,100.0,83.33333333333334,83.33333333333334,100.0,50.0,0.0,0.0,0.0,0.0,0.0
