,SQL,Oracle,SQL Server,PostgreSQL,Cloud,Python,Databases,Azure,ETL,MySQL
SQL,0.0,67.3913043478261,52.17391304347826,41.30434782608695,30.434782608695656,32.608695652173914,30.434782608695656,32.608695652173914,26.08695652173913,23.91304347826087
Oracle,96.875,0.0,50.0,46.875,28.125,37.5,25.0,28.125,25.0,34.375
SQL Server,100.0,66.66666666666666,0.0,50.0,16.666666666666664,29.166666666666668,37.5,45.83333333333333,25.0,41.66666666666667
PostgreSQL,100.0,78.94736842105263,63.1578947368421,0.0,15.789473684210526,47.368421052631575,47.368421052631575,26.31578947368421,15.789473684210526,36.84210526315789
Cloud,87.5,56.25,25.0,18.75,0.0,18.75,25.0,43.75,25.0,25.0
Python,100.0,80.0,46.666666666666664,60.0,20.0,0.0,40.0,40.0,33.33333333333333,13.333333333333334
Databases,93.33333333333333,53.333333333333336,60.0,60.0,26.666666666666668,40.0,0.0,26.666666666666668,20.0,26.666666666666668
Azure,100.0,60.0,73.33333333333333,33.33333333333333,46.666666666666664,40.0,26.666666666666668,0.0,33.33333333333333,33.33333333333333
ETL,100.0,66.66666666666666,50.0,25.0,33.33333333333333,41.66666666666667,25.0,41.66666666666667,0.0,25.0
MySQL,100.0,100.0,90.9090909090909,63.63636363636363,36.36363636363637,18.181818181818183,36.36363636363637,45.45454545454545,27.27272727272727,0.0
