word,count
administrator,18
azure,31
b2b,25
baz,96
bazami,32
bazodanowych,19
bezpieczeństwa,20
bi,42
business,41
cloud,20
code,19
data,88
database,95
development,26
dobra,25
dokumentacji,18
doświadczenia,27
ensure,18
environment,21
etl,19
hurtowni,23
insurance,21
join,19
języka,24
klientów,20
knowledge,21
management,22
minimum,22
możliwość,22
ms,22
narzędzi,24
naszych,20
np,32
oferujemy,21
optymalizacji,21
oracle,72
performance,37
pl,50
pl sql,38
platform,25
postgresql,28
power,25
power bi,19
praca,21
pracę,24
problemów,21
procedur,27
projektowanie,20
python,21
recovery,20
rozwiązania,22
rozwoju,22
rozwój,18
security,21
server,35
services,21
solutions,28
sql,154
sql server,26
strong,22
support,29
systems,20
systemów,44
team,44
teams,20
technologii,18
tools,21
tworzenie,34
tym,21
umiejętność,38
understanding,19
wdrażanie,22
work,58
working,32
wsparcie,19
współpraca,19
wydajności,19
zapytań,32
zapytań sql,18
zarządzania,24
