Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category_manual,Category
Full-time,Senior,B2B,Remote,0,Senior Oracle Database Administrator,Hirexa,"Job Title: Oracle DBA Location: Remote Employment Type: B2B About Hirexa Solutions: Hirexa Solutions is a leading player in the recruitment ecosystem across the United States, United Kingdom, Europe, and India. As the fastest-growing next-generation provider of technology talent, we empower our clients to become resourceful, achieve higher productivity, adopt agile structures, and effectively execute project deliverables. Envisioned and co-founded by veterans of the Information Technology industry, our mission is to make recruitment efficient, flawless, and cost-effective. Our unwavering commitment to strategic investments in intelligent technology underscores our passion for people and our dedication to helping organizations realize their true potential. Job Description Key Responsibilities: Design, install, configure, and maintain database systems (e.g., SQL Server, Oracle, MySQL, PostgreSQL). Monitor database performance and tune complex queries for optimal performance. Manage database backup, recovery, high availability (HA), and disaster recovery (DR) strategies. Implement security measures to protect sensitive data and ensure compliance with data governance policies. Perform database upgrades, patching, and migration activities. Collaborate with development and DevOps teams to support application deployment and database changes. Troubleshoot database-related issues and provide 24/7 support as needed. Create and maintain documentation, standards, and procedures. Automate routine tasks using scripts or tools (e.g., PowerShell, Bash, Python). Mentor junior DBAs and support database-related aspects of software development lifecycle (SDLC). Required Skills: 8 to 10 years of experience in a DBA role with enterprise-level databases. Expertise in at least one major RDBMS (e.g., Microsoft SQL Server, Oracle, PostgreSQL). Strong knowledge of SQL, T-SQL/PL-SQL, indexing, and query optimization. Experience with database monitoring and performance tuning tools. Proven experience with backup and recovery strategies and tools. Knowledge of cloud database platforms (e.g., AWS RDS, Azure SQL Database, Google Cloud SQL). Familiarity with replication, clustering, and HA/DR configurations. Strong scripting skills (e.g., PowerShell, Shell, Python) Position Overview: For one of our partners, we are seeking a Oracle DBA who will be responsible for MSSQL,Oracle DBA. The ideal candidate will possess the necessary skills and experience to contribute to the success of our partner organization. How to Apply: If you are interested in this opportunity, please submit your resume. We look forward to hearing from you!","[{""min"": 900, ""max"": 1000, ""type"": ""Net per day - B2B""}]",Database Administration,Database Administration
Full-time,Senior,Permanent or B2B,Remote,1,👉 GenAI Lead,Xebia sp. z o.o.,"🟣 About project: GenAI Lead will take ownership of designing, developing, and deploying advanced AI solutions, specializing in machine learning, deep learning, and generative AI technologies. This role demands a strategic leader with deep technical expertise to architect scalable GenAI solutions, guide a team of AI professionals, and deliver transformative business outcomes through innovative AI applications. 🟣 You will be: designing and implementing scalable Generative AI (GenAI) systems using Large Language Models (LLMs), vision models, and vector databases, leading the design, development, and deployment of AI-driven solutions, including machine learning models, deep learning frameworks, and generative AI applications, overseeing seamless integration of AI solutions with Azure AI Studio, SharePoint, and Power BI for deployment, reporting, and visualization, collaborating with cross-functional teams to shape AI strategies and deliver high-impact solutions, providing technical leadership in implemention of Agentic frameworks and tools like LlamaIndex to advance AI workflows, mentoring and empowering a team of AI developers, fostering a culture of innovation, collaboration, and technical excellence, staying at the forefront of AI advancements, proposing creative and practical solutions to address complex challenges, enforcing best practices in code quality, model optimization, and solution scalability to ensure robust production-ready systems. 🟣 Your profile: Bachelor’s or Master’s degree in computer science, Data Science, Engineering, or a related field (PhD preferred), 8+ years of hands-on experience in AI/ML development, including at least 3 years in leadership or solution architect capacity, demonstrated success in delivering machine learning, deep learning, and generative AI projects in production environments, exceptional programming proficiency in Python and experience with frameworks such as TensorFlow, PyTorch, or equivalent. in-depth expertise in LLMs, vision models, vector databases, and RAG applications, strong command of Azure AI Studio, SharePoint, and basic Power BI for integration and reporting purposes, proven experience with Agentic frameworks and tools like LlamaIndex for intelligent system development, outstanding problem-solving abilities, with a knack for translating business needs into technical solutions, superior communication and leadership skills to manage teams, align stakeholders, and drive project success, excellent verbal and written communication skills in English (min. C1). 🟣 Nice to have: experience with cloud platforms beyond Azure (e.g., AWS, GCP), knowledge of DevOps practices (e.g., CI/CD pipelines, Kubernetes), familiarity with AI ethics, governance, and compliance standards, exposure to advanced visualization tools or BI platforms. 🟣 Recruitment Process: CV review – HR call – Interview (with Live-coding) – Client Interview (with Live-coding) – Hiring Manager Interview – Decision 🎁 Benefits 🎁 ✍ Development: development budgets of up to 6,800 PLN, we fund certifications e.g.: AWS, Azure, access to Udemy, O'Reilly (formerly Safari Books Online) and more, events and technology conferences, technology Guilds, internal training, Xebia Upskill. 🩺 We take care of your health: private medical healthcare, multiSport card - we subsidise a MultiSport card, mental Health Support. 🤸‍♂️ We are flexible: B2B or employment contract, contract for an indefinite period.","[{""min"": 33500, ""max"": 40000, ""type"": ""Net per month - B2B""}, {""min"": 27000, ""max"": 32500, ""type"": ""Gross per month - Permanent""}]",Unclassified,Unclassified
Full-time,Senior,B2B,Remote,2,Senior Data Engineer (pharmaceutical industry),emagine Polska,"PROJECT INFORMATION: Industry: Pharmaceutical Remote work: remote + occassional visits to the Warsaw office FTE: full-time Project language: English Project length: 12 months contracts + prolongations (we’re looking for people open to long-term) Start: 01.09.2025 Assignment type: B2B Introduction & Summary: The position of Senior Data Engineer is crucial in facilitating and enhancing data and AI products aimed at improving patient lives globally. As an experienced Data Engineer, you will collaborate with cross-functional product teams to design scalable data solutions that are integral to our enterprise data platform. Main Responsibilities: Collaborate with cross-functional teams to design, develop and maintain data pipelines. Act as a liaison between data scientists and IT teams to improve data availability and validation. Ingest, integrate, and curate data from various internal and external sources. Utilize IaC and CI/CD methodologies to deliver infrastructure components to AWS environments. Develop automated tests to ensure data accuracy and quality. Implement best practices and standards for effective data management. Key Requirements: Strong proficiency in Python programming. Proficiency in developing ETL pipelines with Apache Spark, Glue, and Delta Lake. SQL knowledge and experience with Data Warehouse concepts. Experience in automated unit testing and code quality inspection. Working experience with Git, Azure pipelines, and Infrastructure-as-Code (e.g., CDK). Experience with AWS services (e.g., S3, Lambda functions, Athena). Experience in the pharma domain or other regulated areas is considered an advantage. Fluency in English, both written and spoken. Nice to Have: Teamwork skills and willingness to receive feedback. Ability to work independently and manage deadlines effectively. Other Details: This role is positioned within a collaborative team dedicated to innovation in patient care. The organizational culture focuses on personal contributions and career development. It offers a unique chance to impact projects and patient outcomes positively. We offer: Long-term cooperation. Transparently built relations based on trust and fair play. Co-financed benefits: Medicover card, Multisport card.",[],Data Engineering,Data Engineering
Full-time,Manager / C-level,Permanent,Hybrid,3,Data Assets Principal,Bayer Sp. z o.o.,"For Digital Hub Warsaw, we are looking for: Data Assets Principal Are you ready to make a significant impact in the world of data governance and drive the strategic value of enterprise data assets? We are seeking a talented Data Assets Principal to become a vital part of our dynamic Data Assets, Analytics and AI Platform at Bayer Consumer Health. In this role, you will play a pivotal role in developing and running our core data assets across market, consumer, customer, product, company, environmental and master data domains to enable cutting-edge AI solutions and data-driven decision-making. Our diverse, international team, spanning Poland, Germany and India, is dedicated to transforming data into strategic business assets – from data discovery and quality assurance to the seamless delivery of fully governed data products. We pride ourselves on delivering innovative data solutions that empower data scientists, BI developers, and AI agents through robust data governance, quality frameworks, and modern data management practices powered by a cutting-edge tech stack featuring Azure and Databricks. If you're passionate about data management, and eager to lead cross-functional teams in building world-class data assets, we want to hear from you! Key Tasks & Responsibilities: Develop and implement a comprehensive data strategy to prepare data assets for easy consumption by business stakeholders, internal IT teams, autonomous AI systems, and data professionals, while drastically decreasing time to market for data science and business intelligence initiatives through improved data availability, quality, and semantics. Lead and coordinate core data asset teams (market, consumer, customer, product, company, environmental, and master data management), including data analysts, data stewards, data governors, data architects, and data engineers, to optimize data assets for maximum usability and business value, while maintaining a focus on cost-effectiveness. Establish and enforce data governance frameworks, policies, and standards to ensure data quality, completness, consistency, semantics, documentation, security, compliance, and regulatory adherence. Actively identify, evaluate, and prioritize new data sources and datasets, determining their strategic value and integration feasibility into the data asset portfolio. Foster collaboration across cross-functional teams to promote data governance best practices, driving a culture of data stewardship and accountability throughout the organization. Participate in strategic data initiatives and exploratory projects that investigate emerging data management technologies, keeping Bayer at the forefront of data asset optimization in the consumer health sector. Create and execute Data Assets, Analytics and AI Platform’s strategic vision as part of the Platform’s Leadership Team. Qualifications & Competencies (education, skills, experience): Master's or PhD degree with 8+ years of experience in data management, data analytics, data engineering, data architecture, data science or related fields. Experience with developing and delivering data products within modern tech stack, particularly Azure, Databricks, Unity Catalogue, Collibra and Power BI. Strong understanding of data modelling, ETL processes, data governance platforms, data quality tools & methodologies, metadata management, SQL, Python and Agentic AI concept. Extensive experience in leading cross-functional teams and managing complex data strategy, governance and quality initiatives in enterprise environments. Deep understanding of data governance frameworks, data stewardship principles, master & meta data management, data privacy regulations, licensed data contracts and regulatory compliance requirements. Ability to design and implement comprehensive data quality frameworks, data lineage tracking, and automated monitoring systems. Strong analytical and problem-solving skills with keen attention to detail and ability to translate business requirements into technical data solutions. Excellent interpersonal, communication and collaboration skills, with proven ability to engage and influence stakeholders at all organizational levels, from technical teams to C-suite executives. Experience with agile methodologies, project management, and change management in data transformation initiatives. Fluent in English, both written and spoken. Ability to travel. What do We offer: A flexible, hybrid work model Great workplace in a new modern office in Warsaw Career development, 360° Feedback & Mentoring programme Wide access to professional development tools, trainings, & conferences Company Bonus & Reward Structure VIP Medical Care Package (including Dental & Mental health) Holiday allowance (""Wczasy pod gruszą"") Life & Travel Insurance Pension plan Co-financed sport card - FitProfit Meals Subsidy in Office Additional days off Budget for Home Office Setup & Maintenance Access to Company Game Room equipped with table tennis, soccer table, Sony PlayStation 5 and Xbox Series X consoles setup with premium game passes, and massage chairs Tailored-made support in relocation to Warsaw when needed Please send your CV in English You feel you do not meet all criteria we are looking for? That doesn't mean you aren't the right fit for the role. Apply with confidence, we value potential over perfection. WORK LOCATION: WARSAW AL.JEROZOLIMSKIE 158","[{""min"": 28000, ""max"": 42000, ""type"": ""Gross per month - Permanent""}]",Unclassified,Unclassified
Full-time,Mid,Permanent,Hybrid,4,Database Engineer - Technical Platform Services,Allegro,"Location: Company: Allegro sp. z o.o. Team: Technology Contract Type: Employee A hybrid work model requires 1 day a week in the office The Technical Platform Teams provide the foundations for the structure and operations of the entire Allegro platform. This is where we build tools, development and infrastructure stacks and automation systems used by more than a hundred Allegro product teams and by the customer support department. We develop the full stack, starting from our own server room and private cloud, through containerization, mobile apps and application software to tools which offer AI support to our customers. At the same time, we are responsible for the performance, availability and security of the entire platform. - You will eliminate traditional infrastructure in favor of database services managed in the public cloud and/or those based on Kubernetes, - This is a process that won't happen right away, so you will also have to take care of the existing database infrastructure so that it runs smoothly and is always available, - At the same time, you will create and maintain tools to improve, optimize and automate tasks in our infrastructure. - Have knowledge of MySQL, PostgreSQL, Oracle in the field of database administration, - Are familiar with as many as possible tools supporting the above technologies (PMM, percona-toolkit, pg_repack, Grid Control, RMAN, simpana, etc.), - Have knowledge of the GNU stack - bash, grep, awk, sed, as well as, of the Python language (as we create many services from simple scripts that automate backup / restore actions to complex data integrations based on the more advanced frameworks like flask or django) - Familiarity with Docker and Kubernetes, - Some knowledge of the database services in GCP (preferred) or Azure - A hybrid work model that you will agree on with your leader and the team. We have well-located offices (with fully equipped kitchens and bicycle parking facilities) and excellent working tools (height-adjustable desks, interactive conference rooms) - Annual bonus up to 10% of the annual salary gross (depending on your annual assessment and the company's results)- A wide selection of fringe benefits in a cafeteria plan – you choose what you like (e.g. medical, sports or lunch packages, insurance, purchase vouchers)- English classes that we pay for related to the specific nature of your job- Laptop with m1 processor, 32GB RAM, SSD - a 16” or 14” MacBook Pro or corresponding Dell with Windows (if you don’t like Macs), two monitors and all other gadgets that you should need- Working in a team you can always count on — we have on board top-class specialists and experts in their areas of expertise- A high degree of autonomy in terms of organizing your team’s work; we encourage you to develop continuously and try out new things- Hackathons, team tourism, training budget and an internal educational platform, MindUp (including training courses on work organization, means of communications, motivation to work and various technologies and subject-matter issues)- If you want to learn more, check it out Apply to Allegro and see why it is #dobrzetubyć (#goodtobehere)",[],Data Engineering,Data Engineering
Full-time,Mid,B2B,Remote,5,Oracle SQL/APEX Developer,Pretius,"W Pretius poszukujemy Oracle SQL/APEX Developera w projekcie platformy w obszarze Healthcare na rynku UK. Lokalizacja: zdalnie lub Warszawa Wynagrodzenie: 90-150 pln netto/h O projekcie: Współpraca z zespołem projektowym, szacowanie zmian, definiowanie API, wsparcie testów Tworzenie formatek APEX, zapytań SQL i pakietów PL/SQL Wykorzystanie technologii frontendowych do budowy UI Udział w R&D i wprowadzaniu nowych rozwiązań technicznych Stack: SQL, PL/SQL, Oracle APEX (wer. 18+), Oracle Cloud Oczekiwania: Dobra znajomość relacyjnych baz danych (struktury, SQL, PL/SQL - funkcje, procedury, pakiety) Doświadczenie w budowaniu aplikacji web komunikujących się z bazą danych Znajomość standardów w obszarach testów, CI/CD, jakości kodu Podstawowa znajomość HTML/CSS/JS Język angielski - B2+ Co oferujemy w Pretius? Stawiamy na długofalowe relacje oparte na uczciwych zasadach i rzetelności Dofinansowanie karty sportowej Multisport i opieki zdrowotnej Medicover Możliwość pracy w nowoczesnym biurze Imprezy integracyjne, szkolenia wewnętrzne, konferencje, certyfikacje","[{""min"": 90, ""max"": 150, ""type"": ""Net per hour - B2B""}]",Database Administration,Database Administration
Full-time,Senior,B2B,Remote,6,Senior Oracle Developer,P&P Solutions,"Poszukujemy dwóch doświadczonych Programistów Oracle (PL/SQL) do udziału w rozbudowanym projekcie dla firmy z sektora energetycznego zlokalizowanej we Wrocławiu. Projekt zakłada wieloetapowe działania rozwojowe nad systemem informatycznym bazującym na technologii Oracle – z silnym naciskiem na jakość kodu, optymalizację wydajności oraz wsparcie architektoniczne. 📅 Start projektu: wrzesień 2025 📍 Tryb pracy: Zdalnie + sporadyczne wizyty w biurze we Wrocławiu Min. 10 lat komercyjnego doświadczenia z PL/SQL i Oracle DB Zaawansowana znajomość projektowania struktur, optymalizacji zapytań, administracji Znajomość transformacji XML, JSON na poziomie bazy danych Praca z GIT, testy jednostkowe (np. utPLSQL) Doświadczenie w środowisku SCRUM, znajomość JIRA 🎯 Mile widziane: Znajomość Pythona Doświadczenie w systemach czasu rzeczywistego Projekty w branży energetycznej lub elektroenergetycznej Projektowanie i implementacja struktur bazodanowych w Oracle Tworzenie złożonych procedur i optymalizacja zapytań PL/SQL Wsparcie architekta rozwiązania i architekta biznesowego Udział w projektowaniu aplikacji i procesie testowania (w tym testy automatyczne) Nadzór technologiczny nad rozwiązaniami bazodanowymi Udział w projektowaniu standardów dokumentacyjnych i rozwoju kompetencji zespołu ✅ Stabilną i długoterminową współpracę – projekt przewidziany na 12 miesięcy z możliwością kontynuacji ✅ Elastyczny model pracy ✅ Atrakcyjne wynagrodzenie do 150 zł/h ✅ Możliwość wpływu na kluczowe decyzje technologiczne ✅ Współpraca przy projekcie o znaczeniu strategicznym ✅ Wspierające i profesjonalne środowisko ✅ Dostęp do nowoczesnych narzędzi i technologii","[{""min"": 120, ""max"": 150, ""type"": ""Net per hour - B2B""}]",Unclassified,Unclassified
Full-time,Mid,Any,Remote,7,💻 Delphi Developer 💻,LSI Software,"Nasze rozwiązania otaczają Cię w życiu codziennym – korzystają z nich 🛒 sklepy, 🍽 restauracje, 🏨 hotele oraz 🎥 kina na całym świecie. Posiadamy 30 letnie doświadczenie w tworzeniu oprogramowania oraz dystrybucji innowacyjnego sprzętu wspierającego prowadzenie biznesu. Misją LSI Software jest dostarczenie naszym Klientom tego co niezbędne, aby mieli przestrzeń na zwinne działania i rozwój. Dołącz do naszego zespołu, gdzie praca nie jest nudna! 📌 Lokalizacja: Pracujemy w biurze w Łodzi, ale jeśli Ty nie możesz, to dołącz do nas zdalnie : ) Zapraszamy Ciebie, jeśli: Masz minimum 2 lata doświadczenia na stanowisku Programisty Delphi, Znasz bazę danych Microsoft SQL Server oraz język T-SQL, Posiadasz praktyczną znajomość ActiveX Data Objects jako dostępu do baz danych, Masz doświadczenie w pracy w zespołach projektowych, Wyróżnia Cię umiejętność logicznego i analitycznego myślenia, Znasz język angielski na poziomie umożliwiającym czytanie dokumentacji technicznej. Będziesz odpowiadać za: Utrzymanie oraz rozwijanie aplikacji desktopowych, Aktywny udział w planowaniu zadań, prace programistyczne, codzienne spotkania, podsumowania, retrospekcje, Zapewnienie wysokiej jakości dostarczanego kodu, Tworzenie odpowiedniej dokumentacji programistycznej, Wsparcie merytoryczne dla nowych członków zespołu. Benefity: dofinansowanie zajęć sportowych prywatna opieka medyczna dofinansowanie szkoleń i kursów ubezpieczenie na życie elastyczny czas pracy możemy zacząć między 7 a 10 owoce spotkania integracyjne brak dress code’u kawa / herbata parking dla pracowników strefa relaksu program rekomendacji pracowników pikniki rodzinne co drugi piątek krótszy dzień pracy własna sala kinowa w biurze",[],Unclassified,Unclassified
Full-time,Mid,Mandate,Remote,8,Data Scientist (Healthcare/AI),SAVENTIC HEALTH sp. z o.o.,"About Us: Saventic Health is a mission-driven health-tech startup based in Warsaw, dedicated to transforming the diagnosis of rare diseases using cutting-edge Artificial Intelligence. We are developing innovative solutions that have the potential to significantly shorten diagnostic timelines and improve patient outcomes. As a startup, we thrive on innovation, agility, and a collaborative spirit where every team member makes a tangible impact. We work with complex medical data, requiring sophisticated approaches to extract meaningful insights. The Opportunity: We are looking for a motivated and skilled Data Scientist to join our team and contribute to the development of AI-powered diagnostic tools. This is an excellent opportunity to grow your career by applying your data science skills to challenging and meaningful problems in the healthcare domain. As a Data Scientist on our team, you will work alongside senior scientists and engineers to analyze complex medical data, develop and implement machine learning models, and contribute to the core algorithms that power our platform. You will be involved in various stages of the model development lifecycle, from data exploration and preprocessing to model training, evaluation, and supporting deployment efforts. Your Impact: As a key member of our data science team, you will: Contribute to Better Diagnoses: Play an active role in developing and refining machine learning models that aid in the faster and more accurate diagnosis of rare diseases. Help Uncover Insights: Analyze diverse datasets to identify patterns and generate insights that inform model development and product strategy. Apply ML Techniques: Implement and experiment with various machine learning algorithms to solve specific clinical and business problems. Support Innovation: Contribute to the team's efforts in exploring and utilizing effective data science methodologies. Key Responsibilities: Analyze complex medical datasets, including structured and potentially unstructured data, to identify trends and patterns. Develop, train, evaluate, and implement machine learning models using appropriate algorithms and techniques. Perform exploratory data analysis (EDA), feature engineering, and data preprocessing, often in collaboration with Data Engineers and senior team members. Validate model performance using robust metrics and methodologies. Communicate findings, results, and insights clearly to technical team members and potentially other stakeholders. Stay current with relevant advancements in Machine Learning and data science practices. Collaborate effectively within a team environment, working with Data Engineers, MLOps Engineers, other Data Scientists, and domain experts. Contribute to the documentation of models, experiments, and processes. Who You Are: Experienced Data Scientist: Proven practical experience working as a Data Scientist with demonstrated ability to contribute effectively to projects. ML Fundamentals: Solid understanding and hands-on experience with core Machine Learning algorithms and concepts (e.g., regression, classification, clustering, feature selection, validation). Python Proficient: Proficiency in Python is required, along with practical experience using essential data science libraries (e.g., Pandas, NumPy, Scikit-learn). Data Handling Skills: Experience working with real-world datasets, including cleaning, preprocessing, and feature engineering. Analytical Mindset: Good analytical and problem-solving skills with attention to detail. Clear Communicator: Ability to explain technical work and findings to team members. Educated: Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, Physics, or a related quantitative field. Team Player & Learner: Collaborative attitude, eager to learn new techniques, and adaptable to a dynamic startup environment. Nice to Haves: Experience with Natural Language Processing (NLP) techniques and libraries (e.g., spaCy, NLTK, basic understanding of embeddings or text classification). Experience with Deep Learning frameworks (e.g., PyTorch, TensorFlow, Keras). Experience working within the healthcare, clinical research, or biomedical domain. Familiarity with cloud platforms (AWS, GCP, Azure) and their ML services. Experience with data visualization tools (e.g., Matplotlib, Seaborn, Plotly). Experience with SQL for data extraction. What We Offer: An opportunity to make a real-world impact by contributing to solutions that help diagnose rare diseases. A chance to work on challenging data science problems with complex medical data. Significant opportunities for learning and professional growth within a supportive team. Exposure to cutting-edge AI applications in healthcare. A dynamic, innovative, and collaborative startup culture. Ready to grow your data science career and make a difference? If you are a Data Scientist passionate about using your skills to solve meaningful problems in healthcare, we encourage you to apply!",[],Data Science,Data Science
Full-time,Manager / C-level,B2B,Hybrid,9,Chief of Data & AI,WealthArc,"Join a team of innovators building the data infrastructure and AI core for next-gen wealth and asset management. We’re not layering AI on top of legacy finance — we’re rebuilding the system from the data up. We’re hiring a visionary, execution-driven Chief of Data & AI to architect our end-to-end data infrastructure and AI strategy. You’ll lead with bold ideas and deep expertise, owning everything from scalable pipelines to proprietary models to applied machine intelligence. Your work won’t support the business — it will be the business. The ideal candidate will combine bold innovation with deep expertise, driving transformative impact in a breakthrough, data-driven environment. This is a critical leadership role that will define and execute our data vision, helping to shape intelligent, data-driven capabilities across our entire platform. We are building modern, scalable data infrastructure specifically designed for the complex needs of wealth and asset management, enabling advanced analytics, real-time decision-making, and AI innovation across the business. Location: Hybrid (Poland, Switzerland, USA)",[],Data Science,Data Science
