Job ID,Language,Level
1,English,C1
3,English,C1
4,English,B2
5,English,C1
6,English,B2
7,English,C1
9,English,B2
10,English,B2
11,English,B2
12,English,B2
13,English,C1
14,English,B2
16,Polish,B2
16,English,B2
18,Polish,C1
20,Polish,B2
20,English,B2
21,Polish,C2
21,English,B2
22,English,B2
28,English,C1
28,Turkish,C1
29,Polish,C1
29,English,B2
30,Polish,C1
30,English,B2
31,Polish,B2
31,English,B2
32,English,B2
33,English,B2
34,English,B2
37,Polish,C1
37,English,B2
38,English,C1
39,English,B2
40,English,B2
41,English,C1
42,English,C1
43,English,B2
45,English,B2
47,English,C1
47,Polish,C2
48,English,B2
49,English,C1
51,Polish,C2
52,English,B2
54,English,B2
55,English,C1
56,English,C1
60,English,B2
61,English,C1
62,English,C1
67,English,B2
70,English,C1
71,English,B2
73,English,C1
74,English,B2
77,English,B2
78,Polish,B2
78,English,C1
79,English,C1
80,English,C1
82,Polish,C1
82,English,C1
83,English,B2
86,Polish,C1
86,English,C1
87,Polish,C1
87,English,B2
89,Polish,B2
89,English,C1
90,English,B2
91,English,B2
93,Polish,C1
94,Polish,C1
94,English,C1
95,English,B2
97,English,B2
98,Polish,C2
98,English,B2
99,English,B2
101,English,B2
102,English,B2
103,English,C1
104,English,C1
106,English,B2
107,English,C1
108,Polish,C2
110,English,B2
111,Polish,C1
111,English,B2
113,Polish,C2
114,Polish,C2
115,English,B2
116,English,C1
117,English,B2
119,English,B2
121,English,B2
122,English,B2
123,English,B2
126,English,B2
130,Polish,C1
132,Polish,C2
133,English,B2
136,Polish,B2
136,English,B2
137,English,C1
138,English,B1
138,Polish,B1
142,English,B2
143,English,C1
144,Polish,C2
144,English,B2
145,English,B2
148,Polish,C2
148,English,B1
150,Polish,C1
151,English,C1
153,English,B2
155,English,B2
156,English,B2
157,English,B2
158,Polish,C2
158,English,B1
159,English,B2
160,Polish,C1
160,English,C1
161,English,C1
162,English,C1
162,Polish,C1
165,English,B2
165,Polish,C2
167,English,C1
170,English,B2
175,Polish,B2
175,English,B2
176,English,B2
177,English,B2
178,English,B2
181,English,B2
182,English,C1
186,English,C1
186,Polish,C1
187,English,B2
188,English,C1
190,English,B2
193,English,B2
197,Dutch,C1
198,Polish,C1
198,English,C1
199,Polish,C1
199,English,C1
201,English,B1
202,Polish,C1
202,English,C1
203,English,C1
204,English,C1
207,English,B2
208,English,B2
209,Polish,B2
209,English,C1
210,English,B2
212,English,B2
213,English,B1
214,English,B2
215,English,C1
216,English,B2
217,Polish,B2
217,English,B2
218,English,C1
219,English,C1
220,Polish,C1
220,English,B2
221,English,C1
223,English,B2
224,English,B2
225,Polish,C2
225,English,B2
226,English,B2
229,English,B2
230,Polish,B2
232,English,B2
234,English,B2
235,English,B2
238,English,B2
240,English,C1
241,Polish,B2
242,English,C1
246,English,B2
248,English,B2
251,Polish,B2
251,English,B2
252,English,B2
258,English,B2
259,English,B2
260,English,C1
261,English,B2
262,English,C1
263,English,B2
264,English,C1
265,English,C1
266,Polish,B2
266,English,C1
267,English,C1
268,English,B2
274,English,B2
277,English,B1
277,Polish,C2
279,English,C1
280,English,B2
281,English,B2
282,Polish,B2
282,English,C1
287,English,B2
