Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category,min,max,type
Full-time,Mid,B2B,Hybrid,0,System Engineer,Radpoint,"Poszukujemy Inżyniera ds. Wdrożeń, który będzie odpowiedzialny za wdrażanie złożonych i zintegrowanych systemów informatycznych w przedsiębiorstwach i instytucjach. Oferujemy pracę w dynamicznym środowisku, w którym Twoje umiejętności i doświadczenie będą doceniane. Jeśli spełniasz poniższe wymagania zachęcamy do aplikowania! Wymagania: Co najmniej rok pracy jako Inżynier odpowiedzialny za wdrożenia złożonych, zintegrowanych systemów informatycznych w przedsiębiorstwach lub instytucjach. Umiejętność prowadzenia szkoleń aplikacyjnych. Praktyczne doświadczenie w integracji systemów informatycznych w tym analiza i tworzenie specyfikacji technicznych Znajomość Excela, umiejętność analizy danych oraz podstawowa znajomość języka SQL Jako dodatkowy atut: Znajomość obszaru ochrony zdrowia oraz doświadczenie w radiologii i diagnostyce obrazowej Znajomość i doświadczenie w pracy z MIRTH, HL7, DICOM oraz standardów IHE Praktyczna znajomość podstawowych zagadnień związanych z wdrożeniami w sektorze publicznym- protokoły i planowanie Znajomość zagadnień związanych z rozliczeniami NFZ Doświadczenie w zarządzaniu danymi Zadania: Przeprowadzanie szkoleń aplikacyjnych. Wykonywanie integracji i testów integracyjnych z udziałem wielu zewnętrznych dostawców systemów IT. Planowanie i prowadzenie testów integracyjnych. Dokonywanie wdrożeń w przedsiębiorstwach i instytucjach na terenie Polski. Oferujemy: Stabilne zatrudnienie w nowoczesnym środowisku pracy Możliwość rozwoju zawodowego i zdobycia doświadczenia w projektach różnego rodzaju core hours 9: 00-15: 00 Możliwość zdalnego świadczenia usług, jednak chętnie zobaczymy Cię w biurze 😉 Wynagrodzenie adekwatne do umiejętności i doświadczenia Jak rekrutujemy? Pierwszy etap to techniczna rozmowa online trwająca około 1-1,5h Etap drugi to spotkanie w biurze/online składające się ze swobodnej rozmowy i części negocjacyjnej, gdy już wiemy, że chcemy współpracować","[{""min"": 6800, ""max"": 9000, ""type"": ""Net per month - B2B""}]",Data Engineering,6800,9000,Net per month - B2B
Full-time,Senior,B2B,Remote,1,Senior Database Administrator / Lead,Experis Manpower Group,"We’re seeking a highly skilled and experienced Senior Database Administrator (DBA) to join our dynamic IT team. This position requires a deep understanding of database technologies, strong problem-solving skills, and the ability to lead a team effectively. Responsibilities: Database Management: • Design, implement, and maintain database systems to ensure high availability, performance, and security • Monitor database performance and troubleshoot issues to optimise system efficiency • Perform regular database backups, recovery, and disaster recovery planning Leadership and Team Management: • Lead and mentor a team of database administrators, providing guidance and support in their professional development • Collaborate with cross-functional teams to define database requirements and ensure alignment with organisational goals • Foster a culture of continuous improvement and innovation within the database team Strategic Planning: • Develop and implement database strategies that align with overall IT strategy • Stay current with emerging database technologies and trends, making recommendations for upgrades and enhancements Documentation and Compliance: • Maintain comprehensive documentation of database configurations, procedures, and policies • Ensure compliance with data governance and security policies User Support: • Provide technical support and training to end-users and other IT staff as needed • Collaborate with application developers to optimize database performance for applications Requirements: • Bachelor's degree in Computer Science, Information Technology, or a related field • Minimum of 5 years of experience as a Database Administrator, with a focus on leadership roles • Strong knowledge of database management systems (e.g., Oracle, SQL Server, MySQL) • Experience with database design, performance tuning, and optimisation • Proven leadership and team management skills • Excellent problem-solving and analytical abilities • Strong communication and interpersonal skills • Experience with cloud-based database solutions (e.g., AWS, Azure) • Knowledge of data warehousing and business intelligence concepts • Familiarity with database security best practices Our offer: • B2B via Experis • 100% remote work • MultiSport Plus • Group insurance • Medicover Premium • e-learning platform","[{""min"": 144, ""max"": 160, ""type"": ""Net per hour - B2B""}]",Database Administration,144,160,Net per hour - B2B
Full-time,Senior,B2B,Hybrid,7,Programista PL/SQL ze znajomością integracji,4IT Solutions,"Poszukujemy Programisty PL/SQL ze znajomością integracji dla naszego klienta – globalnego lidera w dziedzinie baz danych, rozwiązań chmurowych i oprogramowania biznesowego. To wyjątkowa okazja do pracy dla jednej z wiodących firm tworzących kompleksowe oprogramowanie bazodanowe oraz nowoczesne rozwiązania chmurowe oparte na sztucznej inteligencji. Dzięki ciągłemu rozwojowi technologii oraz inwestycjom w nowoczesne rozwiązania, firma pozostaje kluczowym graczem w sektorze IT, dostarczając innowacyjne produkty dla firm na całym świecie. Dynamiczny rozwój oraz globalna społeczność ekspertów IT sprawiają, że jest to idealne miejsce dla ambitnych specjalistów. Na początek konkrety: Możliwa forma współpracy: B2B Stawka: 130-150 PLN/h Tryb pracy: hybryda Warszawa (1-2x w tygodniu w biurze) Wymiar pracy: 1FTE O projekcie: Projekt dotyczy rozwoju kodu w PL/SQL oraz integracji systemów w architekturze SOA dla klienta z sektora publicznego. Zakres obowiązków: Modelowanie danych oraz tworzenie struktur danych na potrzeby integracji systemów w architekturze SOA Rozwój i optymalizacja kodu PL/SQL, w tym implementacja zapytań, procedur składowych i interfejsów usług z naciskiem na wydajność i skalowalność Analiza i optymalizacja zapytań SQL na dużych zbiorach danych Praca zgodnie z wymaganiami SLA (Service Level Agreement) Wymagania: Minimum 5-letnie doświadczenie na podobnym stanowisku Bardzo dobra znajomość SQL i PL/SQL Doświadczenie w pracy z dużymi zbiorami danych Umiejętność optymalizacji zapytań w bazie danych Oracle Kompetencje w projektowaniu oraz implementacji interfejsów usług w architekturze SOA Praktyczne doświadczenie w wykorzystywaniu SOAP, REST, XQuery, XSLT w projektach integracyjnych Mile widziane: Certyfikaty Oracle PL/SQL Znajomość Oracle Service Bus, Oracle SOA Suite, Oracle Weblogic ServerZa Oferujemy: Atrakcyjna lokalizacja biura Brak dress code’u Możliwość pracy zdalnej Przyjazna niekorporacyjna atmosfera Spotkania integracyjne Opis procesu rekrutacji: Wstępna rozmowa telefoniczna z naszym przedstawicielem - 4IT Solutions (ok 20min) Zdalna rozmowa techniczna z osobami z zespołu naszego Klienta Spotkanie zapoznawcze z Managerem w biurze ... i finalizujemy rozmowy","[{""min"": 130, ""max"": 150, ""type"": ""Net per hour - B2B""}]",Database Administration,130,150,Net per hour - B2B
Full-time,Mid,B2B,Remote,8,Data Engineer,Keyloop,"Keyloop bridges the gap between dealers, manufacturers, technology suppliers and car buyers. We empower car dealers and manufacturers to fully embrace digital transformation. How? By creating innovative technology that makes selling cars better for our customers, and buying and owning cars better for theirs. We use cutting-edge technology to link our clients’ systems, departments and sites. We provide an open technology platform that’s shaping the industry for the future. We use data to help clients become more efficient, increase profitability and give more customers an amazing experience.Want to be part of it? Job Title: Data Platform Engineer Job Summary: We are seeking a highly skilled and experienced Data Engineer to join our team. The successful candidate will be responsible for developing and maintaining our Data Lake and existing Data Pipelines, as well as continually exploring, analyzing, and proposing improvements to existing processes and tooling. They will also be responsible for ensuring best practices are being adopted and staying up to date with the latest research and trends in Data Engineering. Skills Required: Strong background in Data Engineering, with experience in developing and maintaining Data Pipelines and Data Lakes Proven record of accomplishment of staying up to date with the latest research and best practices in Data Engineering Excellent technical skills in Data Engineering tools and technologies Advanced proficiency in Python and SQL Understanding of AWS cloud technologies, including infrastructure as code (CDK preferred) Effective communication and interpersonal skills, with the ability to work effectively with stakeholders at all levels Strong understanding of information security and data protection principles Experience in driving technical and career development, creating appropriate goals and seeking learning opportunities within the company and the wider software community Good understanding and prior experience of the Agile process (Scrum or Kanban) Fluency with software design patterns Experience working with automotive retail technology would be a distinct advantage Key Responsibilities: Maintain and develop the Data Lake and existing Data Pipelines to support the product and data teams’ requirements Continuously explore, analyze, and propose improvements to existing processes and tooling Stay up to date with the latest research, trends and best practices in Data Engineering Support the Business Intelligence team and wider Company in querying centralized data stores, including the Data Lake Work within department to maintain an ongoing understanding of the company’s data strategy and roadmap Proactively report on issues and problems Work independently, manage day-to-day workload and priorities, and take accountability for direction and output Drive your own technical and career development, create appropriate goals, and seek learning opportunities within the company and the wider software community Support colleagues on calls or in meetings with clients, partners, and suppliers as required Maintain systems under the team’s control, including user and access management Support colleagues and HR with onboarding as well as offboarding processes Ensure information security, data protection and support the business in complying with any legal obligations imposed upon it through positive actions Technologies: Python SQL: Trino, Spark-SQL, Hive, TSQL AWS Cloud services (including: s3, step functions, glue, CDK) Terraform Linux Windows Why join us? We’re on a journey to become market leaders in our space – and with that comes some incredible opportunities. Collaborate and learn from industry experts from all over the globe. Work with game-changing products and services. Get the training and support you need to try new things, adapt to quick changes and explore different paths. Join Keyloop and progress your career, your way. An inclusive environment to thrive We’re committed to fostering an inclusive work environment. One that respects all dimensions of diversity. We promote an inclusive culture within our business, and we celebrate different employees and lifestyles – not just on key days, but every day. Be rewarded for your efforts We believe people should be paid based on their performance so our pay and benefits reflect this and are designed to attract the very best talent. We encourage everyone in our organisation to explore opportunities which enable them to grow their career through investment in their development but equally by working in a culture which fosters support and unbridled collaboration. Keyloop doesn’t require academic qualifications for this position. We select based on experience and potential, not credentials. We are also an equal opportunity employer committed to building a diverse and inclusive workforce. We value diversity and encourage candidates of all backgrounds to apply.","[{""min"": 18000, ""max"": 23000, ""type"": ""Net per month - B2B""}]",Data Engineering,18000,23000,Net per month - B2B
Full-time,Mid,Permanent or B2B,Hybrid,9,Data Engineer,Volue Sp. z o.o.,"Volue is a market leader in technologies and services that power the green transition. Around 800 employees work with more than 2 200 customers on energy, power grid, water & infrastructure projects. Our mission is to provide innovative services critical to society, unlocking a cleaner, better and more profitable future. Working towards this goal, Volue has become a leading technology supplier and enabler of the green transition, helping energy companies simplify and optimize everyday operations. We are now looking for aData Engineerto join us to provide value to our customers in line with the Volue mission. In Volue Insight we enable our customers to make data driven decisions – spanning from creating pricing models for their energy products, when to buy energy, to invest in renewable power plants or power-consuming industry. In the fuels team, we provide actuals and forecasts for prices, production levels, flows for the gas markets and conventional power plant operators. We build and maintain data pipelines, collect and process data from external sources, craft mathematical models, analyze time series, train machine learning models, build web applications, and enjoy working together. What you will be doing to make a difference: Design, build and maintain flexible and scalable end-to-end data pipelines for forecasting and prediction models. Contribute to our continuous push towards highly scalable and automated data pipelines and forecasting models where performance is monitored, quality is continuously evaluated, and experimentation is easy. Take part in the entire lifecycle of our models, from initial concept to deployment and ongoing maintenance, ensuring reliability and performance. Implement automated tests, participate in peer code reviews, and embrace continuous integration practices to ensure robust, maintainable code. What you need to succeed: A Bachelor’s or Master's degree in a relevant field, such as Computer Science or Data Engineering. At least 3 years of hands-on experience in programming and data processing using Python; expertise in general statistics is a strong advantage. Be familiar with some of the following concepts: REST APIs, gRPC, CI/CD, Docker, Cloud services, Prometheus/Grafana, Airflow. A strong sense of clean code, test-driven development, and data quality. An open mind, curiosity, and excellent communication skills that foster collaboration and innovation. A passion for teamwork, valuing constructive feedback, and a belief that success is best achieved together. Reasons to join Volue team and what we offer: Large degree of influence in shaping and developing the role further Great colleagues in one of Europe’s most exciting green tech companies with innovative and international work environment Flexible working hours and competitive compensation package, which includes a Multisport card, group life insurance, private healthcare, English classes, memorable offsite events, outstanding referral programme and access to various sports groups. In Volue, we cherish each employee’s competence, ideas and personality. Let your skills and talent be a part of our team – and let us leave our mark on the world together! Company Culture In Volue, we believe that in order to be a successful company, we need to bring everyone to the table. We look at diversity as a competitive advantage. A diverse workforce enables better decision-making and creates more value. By inclusion, we refer to the sense of belonging and being part of a community at work. We want the people of Volue to feel welcome, valued and not least encouraged to bring their whole, unique selves to work. Volue is about people. From staff to client, people are at the center of all our operations, and we always strive for a flat structure where everyone feels included, appreciated and recognized for their individual efforts. Or as we call it ""ONE Volue"". We hire talented individuals, regardless of gender, race, ethnicity, ancestry, age, disability, sexual orientation, gender identity or expression, cultural background or religious beliefs.","[{""min"": 14000, ""max"": 22000, ""type"": ""Net per month - B2B""}, {""min"": 12000, ""max"": 20000, ""type"": ""Gross per month - Permanent""}]",Data Engineering,14000,22000,Net per month - B2B
Full-time,Senior,B2B,Hybrid,10,Senior Data Engineer,Winged IT,"Do you want to play a key role in revolutionizing the future of finance? Join our Client - a global leader in deferred payments, with over 85 million active users and 2.5 million transactions processed daily! As a pioneer in modern payment solutions, our Client is developing innovative methods that streamline the shopping experience, enhance transaction security, and expand the availability of purchasing options. We're seeking individuals eager to achieve remarkable results and share their bold vision to redefine the future of payments and fintech. Send us your CV - we can’t wait to meet you! Your role is: -> To design and implement robust, scalable data pipelines to collect, integrate, and analyze large volumes of data from various sources including Jira, AWS S3, and external websites via APIs; -> To develop and maintain databases and data tables that are optimized for performance and scalability within Klarna’s cloud environment, leveraging AWS services; -> To collaborate with different teams to understand data needs and deliver solutions that support business objectives; -> To ensure data integrity and compliance with data governance and security policies; -> To provide technical leadership and mentorship to data analysts in the team; Stay current with industry trends and evaluate new technologies for continuous improvements in data architecture and processing; -> To work closely with other teams to leverage Klarna’s internal systems for optimized data management and operations; -> To assist DevOps or Full Stack engineers, when necessary, to achieve team objectives. Your skills and experiences: -> 5+ years of experience in data engineering, particularly in designing and developing data pipelines; -> Strong programming skills in Python and experience with API integrations; -> Extensive experience with AWS Cloud Services (e.g., S3, EC2, RDS, Lambda, Glue Jobs, EMR) and understanding of best practices in cloud security; -> Experience with Terraform and infrastructure as a code; -> Proficiency in SQL and experience with relational and NoSQL databases; -> Experience with graph and vector databases; -> Capability to handle multiple high-priority tasks simultaneously and meet tight deadlines without sacrificing detail or accuracy; -> Excellent interpersonal skills to engage with colleagues across various teams, contributing to fast-paced projects; -> Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field; -> Language proficiency: Advanced English (minimum B2 level). Nice to have: + DevOps experience and skills will be viewed as a huge plus; + FullStack or Development experience and skill will be viewed as a huge plus; + Familiarity with Klarna’s internal systems, such as C2C and Data Platform services, is highly preferred. Our client offers: + Great opportunity for personal development in a stable and friendly large multinational company; + Start-up mentality, small agile teams; + Global Reach: Impact millions with seamless shopping and payments; + Career growth and additional education. ﻿","[{""min"": 170, ""max"": 195, ""type"": ""Net per day - B2B""}]",Data Engineering,170,195,Net per day - B2B
Full-time,Mid,B2B,Remote,12,Data Engineer,Britenet,"Naszym klientem jest znana, globalna firma z branży retail. Zostaliśmy zaangażowani przez klienta jako zespół Ekspertów ds. danych do kluczowego projektu wdrożeniowego. Oczekiwania: Minimum 3 lata doświadczenia w IT (preferowane w zespole Data/Software) Bardzo dobra znajomość Pythona, wykorzystywanego do tworzenia aplikacji opartych na mikroserwisach i usługach REST API Doświadczenie w projektowaniu i budowaniu aplikacji w architekturze mikroserwisowej Praktyczne doświadczenie z Google Cloud Platform (GCP) Znajomość narzędzi do orkiestracji i automatyzacji procesów danych (np. Apache Airflow) Dobra znajomość SQL oraz relacyjnych baz danych (np. MS SQL, PostgreSQL) Doświadczenie w pracy z Google BigQuery Znajomość i umiejętność pracy z Dockerem Doświadczenie w analizie i integracji danych z różnych źródeł, w tym niestandardowych (API, pliki, systemy zewnętrzne) Umiejętność samodzielnego rozwijania i utrzymywania aplikacji o istotnym znaczeniu biznesowym Znajomość języka angielskiego na poziomie komunikatywnym (minimum B2) Mile widziane: Umiejętność uruchamiania i konfigurowania infrastruktury chmurowej oraz CI/CD (np. z użyciem Azure Pipelines) Znajomość Microsoft Azure Zadania: Tworzenie i rozwój aplikacji pośredniczących (middleware) między systemami e-commerce (np. Ocado Smart Platform) a wewnętrznymi systemami firmy (np. kasy, fakturowanie, logistyka) Budowa i rozwój mikroserwisów backendowych w Pythonie Integracja danych z systemów magazynowych i e-commerce do ekosystemu firmy Projektowanie i wdrażanie przepływów danych w chmurze (BigQuery, GCP, Azure) Rozwój ekosystemu danych – wsparcie dla Data Science, analityków i raportowania Utrzymanie i rozwój istniejących aplikacji oraz wdrażanie nowych funkcjonalności Współpraca z analitykami, kierownikami projektów i zespołem Data (4–5 osób), w tym przejmowanie wiedzy domenowej Praca z dokumentacją techniczną i architekturą danych","[{""min"": 100, ""max"": 150, ""type"": ""Net per hour - B2B""}]",Data Engineering,100,150,Net per hour - B2B
Full-time,Senior,B2B,Remote,13,Remote Data Engineer/ Analytics Engineer,Ework Group,"Ework Group- founded in 2000, listed on Nasdaq Stockholm, with around 13,000 independent professionals on assignment - we are the total talent solutions provider who partners with clients, in both the private and public sector, and professionals to create sustainable talent supply chains. With a focus on IT/OT, R&D, Engineering and Business Development, we deliver sustainable value through a holistic and independent approach to total talent management. By providing comprehensive talent solutions, combined with vast industry experience and excellence in execution, we form successful collaborations. We bridge clients and partners & professionals throughout the talent supply chain, for the benefit of individuals, organizations and society. 🔹 For our Client we are looking forSenior Analytics Engineer🔹 ✔️The Position Join our Global Commercial IT team as aSenior Analytics Engineerand take part in transforming our Common Data Platform (CDP), which integrates and delivers business-critical data across 43 European and Canadian affiliates. You’ll be joining a product team responsible for building and maintaining our AWS-based Data Lake, DBT Cloud transformation pipelines, and Snowflake data warehouse, enabling high-quality commercial and engagement insights across channels. This role goes beyond coding – we’re looking for someone with strong technical expertise, a proactive mindset, and the ability to build foundations where there are none, improve data quality and reliability, and collaborate closely with business-facing product owner. ✔️ Key Responsibilities: Design, build, and maintain robust ETL/ELT pipelines in DBT Cloud, ingesting data from sources like OCE IQVIA, Adobe Analytics, Qualtrics, Salesforce CIAM, and others Contribute to the migration of legacy Snowflake and Qlik environments into the unified EUCAN CDP instance Implement data quality validation frameworks (e.g., DBT tests, freshness checks, anomaly detection) Support and improve our RUN Management process: monitoring, reruns, root-cause analysis and preventive actions Maintain and document model ownership, schema logic and transformations within our CDW_CORE > CDW_STAGE > CDW_PROD architecture Collaborate closely with Product Owner, Data Architect, and affiliate stakeholders to ensure delivery of trusted, scalable and governed data products Mentor junior engineers and act as a point of escalation for complex data issues ✔️ Tech Stack & Environment: DBT Cloud (core ELT engine) Snowflake (Data Warehouse) AWS S3 (Data Lake, ingestion zone) GitHub, Azure DevOps Data sources: IQVIA OCE, Salesforce Marketing Cloud, Adobe AEM/Analytics, Shopify, Qualtrics, Accutics, Facebook/LinkedIn/Instagram ✔️ Must-Have Qualifications: 5+ years of experience as a Data Engineer working with cloud-based ELT pipelines Expert-level SQL and DBT modeling skills Deep understanding of data warehousing concepts (dimensional modeling, incremental loading, performance optimization) Experience with Snowflake and cloud data architecture Strong communication and documentation skills – must work well in distributed teams Proactive attitude: ownership over data quality, incident handling and delivery discipline ✔️ Nice-to-Haves: Experience in the pharmaceutical or commercial and Sales data domains (CRM, HCP, field force) Exposure to GDPR and data privacy requirements in commercial data ✔️ We offer: B2B agreement Transparent working conditions with both Ework and the client Current support during our cooperation Possibility to work in an international environment Collaborative environment in Swedish organizational culture Private medical care Life insurance Multisport Teambuilding events","[{""min"": 170, ""max"": 196, ""type"": ""Net per hour - B2B""}]",Data Analysis & BI,170,196,Net per hour - B2B
Full-time,Mid,Permanent,Hybrid,15,Data Engineer,Hays Poland,"Data Engineer - SQL Developer Refactor and re-architect solutions to get rid of legacy Handle incidents and support daily operations Help design and build data pipelines and integrations Work on data integration, transformation, and storage Collaborate with business users to improve existing systems Suggest process improvements (aligned with GxP standards) Document your work clearly and consistently Support cloud-native data services and APIs Join project planning and execution for new and existing apps Provide on-call support for key data services when needed Skills in SQL, T-SQL, C#, SSIS, and VBA Understanding of ETL/ELT, data modeling, and API integration Familiarity with DevOps, version control, and CI/CD pipelines Awareness of data governance and compliance (GxP, GDPR) A sharp eye for detail and a problem-solving mindset Great communication skills and a team-first attitude Career in an Organization with Scandinavian Culture and Values: Experience a work environment that emphasizes equality, work-life balance, and sustainability. Work in a hybrid model (3 days in the office per week). Potential for a permanent contract after an initial 3-month period. Comprehensive medical coverage through Medicover. Sports Card: Access to various sports facilities and activities. Life insurance coverage for added security. Opportunity to be involved in the transition of processes. Attractive and competitive salary.","[{""min"": 11000, ""max"": 17000, ""type"": ""Gross per month - Permanent""}]",Data Engineering,11000,17000,Gross per month - Permanent
Full-time,Mid,B2B,Remote,16,Data Vault Architect with Snowflake,Link Group,"Opis stanowiska: Poszukujemy doświadczonegoData Vault Architecta, który wesprze naszego klienta w strategicznym przeglądzie, planowaniu i transformacji istniejącej platformy danych. Osoba na tym stanowisku będzie odpowiedzialna nie tylko za ocenę obecnej architektury, ale również za opracowanie wizji docelowej, zarządzanie interesariuszami oraz nadzór nad realizacją techniczną i zespołem wdrożeniowym. Projekt ma kluczowe znaczenie dla poprawy efektywności i skalowalności systemów danych opartych oSnowflake, DBT oraz AWS. Przegląd i ocena istniejącej platformy danych klienta oraz zaproponowanie optymalnej ścieżki rozwoju. Tworzenie strategii i wizji docelowej dla nowoczesnej platformy danych z wykorzystaniem Data Vault 2.0. Koordynacja dostarczania rozwiązań, planowanie działań oraz nadzór nad ich realizacją. Zarządzanie zmianą oraz skuteczna współpraca z interesariuszami biznesowymi i technicznymi. Możliwość objęcia roli menedżerskiej oraz budowania zespołu technicznego. Współpraca z zespołami inżynieryjnymi, analitycznymi oraz DevOps. Must-have: Doświadczenie w projektowaniu i wdrażaniu architektury danych w modeluData Vault 2.0. Bardzo dobra znajomość platformySnowflake. Praktyczne doświadczenie z narzędziemDBT (Data Build Tool). Znajomość i doświadczenie z infrastrukturąAWS. Umiejętność zarządzania interesariuszami oraz prowadzenia inicjatyw transformacyjnych. Zdolność do definiowania strategii technicznej i architektonicznej.","[{""min"": 160, ""max"": 170, ""type"": ""Net per hour - B2B""}]",Data Architecture,160,170,Net per hour - B2B
