Job ID,Technology,Experience Level,Category,Experience
0,Databases,advanced,Data Engineering,Mid
0,SQL,advanced,Data Engineering,Mid
0,Linux,regular,Data Engineering,Mid
0,Windows,regular,Data Engineering,Mid
1,PostgreSQL,advanced,Database Administration,Mid
1,High Availability,advanced,Database Administration,Mid
1,Linux,advanced,Database Administration,Mid
1,Oracle,regular,Database Administration,Mid
1,SQL,regular,Database Administration,Mid
1,CI/CD,nice to have,Database Administration,Mid
2,IDMC,regular,Unclassified,Manager / C-level
2,ETL,regular,Unclassified,Manager / C-level
2,Azure,regular,Unclassified,Manager / C-level
3,AWS,advanced,Data Science,Senior
3,Airflow,advanced,Data Science,Senior
3,SQL,advanced,Data Science,Senior
3,Python,advanced,Data Science,Senior
4,ETL,advanced,Data Engineering,Senior
4,SQL,advanced,Data Engineering,Senior
4,Airflow,regular,Data Engineering,Senior
4,DBT,regular,Data Engineering,Senior
4,Snowflake,regular,Data Engineering,Senior
4,Python,regular,Data Engineering,Senior
4,AWS,nice to have,Data Engineering,Senior
4,Databricks,nice to have,Data Engineering,Senior
5,AWS,advanced,Data Engineering,Senior
5,GCP,advanced,Data Engineering,Senior
5,Hadoop,advanced,Data Engineering,Senior
5,Cloudera,advanced,Data Engineering,Senior
5,Azure,advanced,Data Engineering,Senior
5,PySpark,regular,Data Engineering,Senior
5,Java,regular,Data Engineering,Senior
5,Python,regular,Data Engineering,Senior
5,Scala,regular,Data Engineering,Senior
6,Databricks,advanced,Data Architecture,Senior
6,Data Lake,advanced,Data Architecture,Senior
6,Azure Synapse Analytics,advanced,Data Architecture,Senior
6,Tableau,advanced,Data Architecture,Senior
6,Power BI,advanced,Data Architecture,Senior
7,VBA,master,Data Engineering,Mid
7,SQL,master,Data Engineering,Mid
7,T-SQL,advanced,Data Engineering,Mid
7,SQL Server,advanced,Data Engineering,Mid
7,Databases,advanced,Data Engineering,Mid
7,Data Integration,advanced,Data Engineering,Mid
8,Power BI,advanced,Data Analysis & BI,Mid
8,SQL Server,advanced,Data Analysis & BI,Mid
8,ETL tools,regular,Data Analysis & BI,Mid
8,Python,junior,Data Analysis & BI,Mid
8,Azure,nice to have,Data Analysis & BI,Mid
9,Clickup,junior,Unclassified,Junior
9,Buble,junior,Unclassified,Junior
9,Databases,junior,Unclassified,Junior
9,No Code,junior,Unclassified,Junior
9,Low code,junior,Unclassified,Junior
9,Artificial Intelligence,nice to have,Unclassified,Junior
10,Artificial Intelligence,regular,Data Science,Mid
11,AWS,advanced,Data Engineering,Senior
11,Terraform,advanced,Data Engineering,Senior
11,SQL,advanced,Data Engineering,Senior
11,Python,advanced,Data Engineering,Senior
12,Data Vault,advanced,Data Architecture,Senior
12,Snowflake,advanced,Data Architecture,Senior
12,DBT,advanced,Data Architecture,Senior
12,AWS,regular,Data Architecture,Senior
13,Data Vault,advanced,Data Architecture,Senior
13,ETL,advanced,Data Architecture,Senior
13,DBT,advanced,Data Architecture,Senior
13,Data Engineering,advanced,Data Architecture,Senior
14,Python,regular,Data Engineering,Senior
14,Machine Learning,regular,Data Engineering,Senior
14,AWS,nice to have,Data Engineering,Senior
14,Azure,nice to have,Data Engineering,Senior
14,GCP,nice to have,Data Engineering,Senior
15,Palantir Foundry,regular,Data Engineering,Mid
15,ETL,regular,Data Engineering,Mid
15,SQL,regular,Data Engineering,Mid
15,Python,regular,Data Engineering,Mid
15,AWS,nice to have,Data Engineering,Mid
15,Azure,nice to have,Data Engineering,Mid
15,GCP,nice to have,Data Engineering,Mid
15,CI/CD,nice to have,Data Engineering,Mid
16,Python,advanced,Data Engineering,Senior
16,AWS,nice to have,Data Engineering,Senior
16,GCP,nice to have,Data Engineering,Senior
16,Azure,nice to have,Data Engineering,Senior
17,PyTorch,regular,Unclassified,Mid
17,TensorFlow,regular,Unclassified,Mid
17,scikit-learn,regular,Unclassified,Mid
17,Pandas,regular,Unclassified,Mid
17,NumPy,regular,Unclassified,Mid
17,Python,regular,Unclassified,Mid
18,Oracle,regular,Unclassified,Mid
18,SQL,regular,Unclassified,Mid
18,Informatica Power Center,regular,Unclassified,Mid
18,Spark,nice to have,Unclassified,Mid
18,Python,nice to have,Unclassified,Mid
19,AWS,advanced,Unclassified,Mid
19,SQL,advanced,Unclassified,Mid
19,Python,advanced,Unclassified,Mid
20,Microsoft Excel,regular,Data Analysis & BI,Junior
20,SQL,junior,Data Analysis & BI,Junior
20,Python,junior,Data Analysis & BI,Junior
20,plotly,junior,Data Analysis & BI,Junior
20,Pandas,junior,Data Analysis & BI,Junior
21,AWS,advanced,Data Engineering,Senior
21,DWH,advanced,Data Engineering,Senior
21,SQL,advanced,Data Engineering,Senior
21,Python,advanced,Data Engineering,Senior
21,DBT,nice to have,Data Engineering,Senior
21,Java,nice to have,Data Engineering,Senior
22,Python,advanced,Data Science,Senior
22,SQL,advanced,Data Science,Senior
22,Spark,advanced,Data Science,Senior
22,TensorFlow,advanced,Data Science,Senior
22,PyTorch,advanced,Data Science,Senior
22,GCP/AWS/AZURE,regular,Data Science,Senior
23,Machine Learning,regular,Data Science,Mid
23,NLP,regular,Data Science,Mid
23,modelling,regular,Data Science,Mid
23,Generative AI,regular,Data Science,Mid
24,PostgreSQL,regular,Data Analysis & BI,Senior
24,ETL,regular,Data Analysis & BI,Senior
24,ETL tools,regular,Data Analysis & BI,Senior
24,SQL,regular,Data Analysis & BI,Senior
24,Oracle,regular,Data Analysis & BI,Senior
24,Python,regular,Data Analysis & BI,Senior
24,Enterprise Architect,regular,Data Analysis & BI,Senior
25,Entity Data,advanced,Data Analysis & BI,Mid
25,Microsoft Excel,advanced,Data Analysis & BI,Mid
25,Confluence,regular,Data Analysis & BI,Mid
25,SQL,junior,Data Analysis & BI,Mid
25,ETL,nice to have,Data Analysis & BI,Mid
26,Airflow,regular,Data Science,Mid
26,Artificial Intelligence,regular,Data Science,Mid
26,Azure,regular,Data Science,Mid
26,Kafka,regular,Data Science,Mid
26,Python,regular,Data Science,Mid
27,Python,regular,Data Engineering,Mid
27,API,regular,Data Engineering,Mid
27,BigQuery,regular,Data Engineering,Mid
27,Looker,regular,Data Engineering,Mid
27,GCP,regular,Data Engineering,Mid
27,Fivetran,regular,Data Engineering,Mid
27,Zapier,regular,Data Engineering,Mid
27,Make,regular,Data Engineering,Mid
28,Azure,regular,Data Analysis & BI,Mid
28,OR,regular,Data Analysis & BI,Mid
29,Azure Data Factory,regular,Data Engineering,Mid
29,Databricks,regular,Data Engineering,Mid
29,Airflow,regular,Data Engineering,Mid
29,ETL tools,regular,Data Engineering,Mid
29,Azure,regular,Data Engineering,Mid
30,Power BI,advanced,Data Analysis & BI,Mid
30,DAX,advanced,Data Analysis & BI,Mid
30,SQL,advanced,Data Analysis & BI,Mid
30,RDBMS,regular,Data Analysis & BI,Mid
30,Azure SQL,junior,Data Analysis & BI,Mid
30,Azure Data Lake,junior,Data Analysis & BI,Mid
31,Oracle,advanced,Data Engineering,Senior
31,PostgreSQL,advanced,Data Engineering,Senior
32,ETL,advanced,Data Engineering,Senior
32,Databricks,advanced,Data Engineering,Senior
32,SQL,advanced,Data Engineering,Senior
32,Python,advanced,Data Engineering,Senior
32,Data engineer,advanced,Data Engineering,Senior
32,Azure,regular,Data Engineering,Senior
32,CI/CD,regular,Data Engineering,Senior
33,Azure Databricks,advanced,Unclassified,Senior
33,DATA MODELLING,advanced,Unclassified,Senior
33,ETL Pipelines,advanced,Unclassified,Senior
34,ETL,regular,Data Analysis & BI,Mid
34,SQL,regular,Data Analysis & BI,Mid
34,Python,regular,Data Analysis & BI,Mid
34,Dataiku,nice to have,Data Analysis & BI,Mid
35,Python,advanced,Data Engineering,Senior
35,AWS,advanced,Data Engineering,Senior
35,MongoDB,regular,Data Engineering,Senior
35,Spark,regular,Data Engineering,Senior
35,Delta Lake,regular,Data Engineering,Senior
36,Data Lake,advanced,Data Engineering,Senior
36,Azure,advanced,Data Engineering,Senior
36,Azure Data Factory,advanced,Data Engineering,Senior
36,ETRM,advanced,Data Engineering,Senior
36,Databricks,regular,Data Engineering,Senior
37,Microsoft Excel,advanced,Data Analysis & BI,Mid
37,SQL,regular,Data Analysis & BI,Mid
37,Looker,regular,Data Analysis & BI,Mid
37,Google Analytics,nice to have,Data Analysis & BI,Mid
37,Power BI,nice to have,Data Analysis & BI,Mid
37,BigQuery,nice to have,Data Analysis & BI,Mid
37,Google Tag Manager,nice to have,Data Analysis & BI,Mid
38,Algorithms,regular,Data Science,Mid
38,Python,regular,Data Science,Mid
38,Spark,regular,Data Science,Mid
38,Azure,nice to have,Data Science,Mid
38,GCP,nice to have,Data Science,Mid
38,Kubernetes,nice to have,Data Science,Mid
38,SQL,nice to have,Data Science,Mid
38,Databricks,nice to have,Data Science,Mid
38,BigQuery,nice to have,Data Science,Mid
39,Power Platform,advanced,Unclassified,Senior
39,Copilot,regular,Unclassified,Senior
39,Power BI,regular,Unclassified,Senior
39,Azure,regular,Unclassified,Senior
39,Power Apps,regular,Unclassified,Senior
39,Power Automate,regular,Unclassified,Senior
39,TypeScript,regular,Unclassified,Senior
39,JavaScript,regular,Unclassified,Senior
39,Azure DevOps,nice to have,Unclassified,Senior
40,Git,advanced,Data Engineering,Senior
40,ETL,advanced,Data Engineering,Senior
40,Azure,advanced,Data Engineering,Senior
40,Data Warehouse,advanced,Data Engineering,Senior
40,Delta Lake,advanced,Data Engineering,Senior
40,SQL,advanced,Data Engineering,Senior
40,Python,advanced,Data Engineering,Senior
40,Glue,advanced,Data Engineering,Senior
40,Apache Spark,advanced,Data Engineering,Senior
41,"Data Guard, RMAN, Data Pump",advanced,Database Administration,Senior
41,Linux,advanced,Database Administration,Senior
41,Oracle,advanced,Database Administration,Senior
41,Oracle GoldenGate,junior,Database Administration,Senior
41,RAC (ASM) environment (19c),junior,Database Administration,Senior
42,Informatica Powercenter,regular,Data Engineering,Mid
42,Databricks,regular,Data Engineering,Mid
42,Azure,regular,Data Engineering,Mid
42,Azure DevOps,regular,Data Engineering,Mid
42,SQL,regular,Data Engineering,Mid
42,SQL Server,regular,Data Engineering,Mid
43,RDBMS,junior,Data Analysis & BI,Junior
43,Relational Databases,junior,Data Analysis & BI,Junior
43,SQL,junior,Data Analysis & BI,Junior
43,Python,junior,Data Analysis & BI,Junior
44,Kotlin,regular,Data Engineering,Mid
44,Databases,regular,Data Engineering,Mid
44,Java,regular,Data Engineering,Mid
44,Scala,regular,Data Engineering,Mid
45,Large Language Models,regular,Unclassified,Senior
45,Azure,regular,Unclassified,Senior
45,Python,regular,Unclassified,Senior
45,Generative AI,regular,Unclassified,Senior
46,Apache Hadoop,master,Database Administration,Mid
46,Apache Spark,nice to have,Database Administration,Mid
47,Salesforce,advanced,Database Administration,Mid
47,Integrating systems,advanced,Database Administration,Mid
47,Google Sheets,advanced,Database Administration,Mid
47,Google Workspace,regular,Database Administration,Mid
47,Apex,nice to have,Database Administration,Mid
48,GCP,advanced,Data Engineering,Senior
48,BigQuery,advanced,Data Engineering,Senior
48,SQL,advanced,Data Engineering,Senior
48,Python,regular,Data Engineering,Senior
49,Power BI,advanced,Data Analysis & BI,Senior
49,SQL,advanced,Data Analysis & BI,Senior
49,Power Automate,advanced,Data Analysis & BI,Senior
49,Snowflake,nice to have,Data Analysis & BI,Senior
49,Python,nice to have,Data Analysis & BI,Senior
50,Bash,advanced,Database Administration,Senior
50,Databases,advanced,Database Administration,Senior
50,Oracle,advanced,Database Administration,Senior
50,Oracle,advanced,Database Administration,Senior
50,Oracle,advanced,Database Administration,Senior
50,SQL,regular,Database Administration,Senior
50,Linux OS,regular,Database Administration,Senior
50,Virtualization,junior,Database Administration,Senior
50,Python,nice to have,Database Administration,Senior
51,Azure,advanced,Data Science,Mid
51,Python,advanced,Data Science,Mid
51,Machine Learning,advanced,Data Science,Mid
53,ServiceNow,master,Unclassified,Senior
53,Front-End,master,Unclassified,Senior
53,Backend,master,Unclassified,Senior
53,Data Warehousing,master,Unclassified,Senior
53,ETL,master,Unclassified,Senior
53,Snowflake,master,Unclassified,Senior
53,Talend,master,Unclassified,Senior
53,Tableau,master,Unclassified,Senior
54,ETL,advanced,Unclassified,Senior
54,Spark,advanced,Unclassified,Senior
54,JSON,advanced,Unclassified,Senior
54,Azure,advanced,Unclassified,Senior
54,Databricks,advanced,Unclassified,Senior
54,SQL,advanced,Unclassified,Senior
54,Python,advanced,Unclassified,Senior
54,Scala,advanced,Unclassified,Senior
54,NoSQL,advanced,Unclassified,Senior
