Job ID,Technology,Experience Level
0,English,B2
0,Oracle DBA,master
0,MS SQL,advanced
0,PostgreSQL,regular
1,English,C1
1,Large Language Models,advanced
1,Azure,advanced
1,Python,advanced
1,Generative AI,advanced
2,English,B2
2,Git,advanced
2,ETL,advanced
2,Azure,advanced
2,Data Warehouse,advanced
2,Delta Lake,advanced
2,SQL,advanced
2,Python,advanced
2,Glue,advanced
2,Apache Spark,advanced
3,Data Stewardship,master
3,Data Strategy,master
3,Product Management,master
3,Unity Catalogue,master
3,Data Privacy,master
3,Data security,master
3,data governance,master
3,Agentic AI,regular
3,DATA MODELLING,regular
3,Databricks,regular
4,English,B2
4,MySQL,advanced
4,PostgreSQL,advanced
4,Oracle,advanced
4,Docker,nice to have
4,Kubernetes,nice to have
5,English,B2
5,PL/SQL,advanced
5,SQL,advanced
5,Apex,regular
5,Relational Databases,regular
5,Oracle,regular
5,CI/CD,junior
6,Polish,C2
6,Oracle DB,master
6,PL/SQL,master
6,XML,advanced
6,JSON,advanced
6,Scrum,advanced
6,Jira,advanced
6,Python,nice to have
7,English,B1
7,T-SQL,regular
7,ActiveX Data Objects,regular
7,Delphi,regular
7,Microsoft SQL Server,regular
8,English,B2
8,Pandas / NumPy / Scikit-learn,advanced
8,Python,advanced
8,Machine Learning,regular
8,Feature Engineering,regular
9,English,C1
9,AI,advanced
9,ML/AI systems,advanced
9,Strategia Data & AI,advanced
9,Python,advanced
9,Data platforms,advanced
9,Data architectures,advanced
9,Analytics,advanced
10,Polish,C1
10,English,C1
10,Python,advanced
10,Pandas,advanced
10,SQL,advanced
10,DBT,regular
10,GitLab,regular
10,Snowflake,regular
10,ETL,regular
11,redhat,regular
11,Linux,regular
11,PL/SQL,regular
11,Oracle,regular
11,Redis,nice to have
11,PostgreSQL,nice to have
11,Shell,nice to have
11,Perl,nice to have
11,Python,nice to have
11,Cassandra,nice to have
12,Polish,C1
12,Hadoop,advanced
12,Apache Airflow,advanced
12,SQL,advanced
12,Python,advanced
12,Apache Spark,advanced
13,Polish,C2
13,English,B1
13,Git,regular
13,Airflow,regular
13,CI/CD,regular
13,ETL,regular
13,Spark,regular
13,Hadoop,regular
13,SQL,regular
13,Python,regular
13,Big Data,regular
14,English,C1
14,Snowflake,advanced
14,DBT,advanced
14,Data Engineering,advanced
14,Data modeling,advanced
15,Polish,C2
15,Azure,advanced
15,Python,advanced
15,Machine Learning,advanced
16,Polish,C1
16,English,C1
16,Hadoop,master
16,Hive,master
16,HDFS,master
16,Apache Spark,master
16,Scala,regular
16,Google Cloud Platform,regular
16,SQL,regular
16,CI/CD,regular
16,Big Query,nice to have
16,Cloud Dataflow,nice to have
17,English,B2
17,Google Cloud Platform,advanced
17,ETL,advanced
17,Data Warehousing,advanced
17,GCP,advanced
17,BigQuery,advanced
17,SQL,advanced
17,Python,advanced
17,Apache,nice to have
17,IntelliJ,nice to have
17,Gradle,nice to have
18,Polish,B2
18,English,B2
18,C++,advanced
18,Java,advanced
19,English,C1
19,IT system maintenance,advanced
19,Jira,advanced
19,Azure DevOps,advanced
19,SQL,regular
19,PySpark,regular
19,API,regular
20,English,C1
20,BigQuery,regular
20,Cloud Storage,regular
20,Pub/Sub,regular
20,Dataflow,regular
20,Dataproc,regular
20,Apache Beam,regular
20,Cloud Composer,regular
21,English,B2
21,Python,advanced
21,SQL & Database Skill,regular
21,Apache Airflow,regular
22,English,B2
22,Azure Databricks,advanced
22,DATA MODELLING,advanced
22,ETL Pipelines,advanced
23,English,C1
23,Python,advanced
23,Azure Data Lake Gen2,advanced
23,Databricks,advanced
23,Azure Data Factory,advanced
23,SQL,advanced
24,English,B2
24,Python,regular
24,Azure,regular
24,Databricks,regular
24,Apache Spark,regular
24,SQL,regular
25,AWS,advanced
25,PySpark,advanced
25,Python,advanced
25,Apache Spark,regular
25,GitLab,regular
25,CI/CD,regular
25,Terraform,regular
26,Bash,advanced
26,Databases,advanced
26,PL/SQL,advanced
26,Oracle DB,advanced
26,Oracle,advanced
26,SQL,regular
26,Linux OS,regular
26,Virtualization,junior
26,Python,nice to have
27,Data,advanced
27,ETL,advanced
27,PL/SQL,regular
27,Oracle DB,regular
28,English,C1
28,data migration,regular
28,S/4HANA,junior
28,SAP ECC,junior
28,SAP Data Services,nice to have
28,Microsoft SQL,nice to have
28,SAP LSMW,nice to have
29,English,B2
29,SQL,advanced
29,Power BI,regular
29,Tableau,regular
29,Python,junior
30,English,C1
30,Power BI,advanced
30,SQL,advanced
30,Snowflake,nice to have
30,Python,nice to have
31,Python,advanced
31,Data Warehouse,advanced
31,ETL,advanced
31,Snowflake,nice to have
32,English,B2
32,Microsoft SQL,regular
32,REST,regular
32,T-SQL,junior
32,Neo4j,junior
32,VPN,junior
32,FTP,junior
32,SFTP,junior
32,Java,nice to have
32,Power BI,nice to have
33,Data analysis,advanced
33,SQL,advanced
33,Python,advanced
33,PySpark,nice to have
33,Hadoop,nice to have
33,SAS,nice to have
34,Polish,C2
34,SQL,advanced
34,T-SQL,regular
34,PL/SQL,regular
34,ETL,regular
34,ETL tools,regular
34,Data Integration,regular
35,Dutch,C1
35,Azure DevOps,advanced
35,Microsoft Fabric,advanced
35,CI/CD,advanced
35,Data modeling,advanced
35,Data Marts,advanced
35,Identity Access Management,advanced
35,Data models,advanced
36,English,B2
36,Informatica Powercenter,regular
36,Azure Databricks,regular
36,Databricks,regular
36,Power Center,regular
36,SQL,regular
36,Azure DevOps,regular
37,English,C1
37,Python,master
37,SQL,master
37,Azure Databricks,advanced
37,Reltio Cloud MDM,advanced
37,SAP MM,advanced
37,Syndigo Enterprise Data Suite,advanced
38,English,B2
38,ETL,advanced
38,Spark,advanced
38,JSON,advanced
38,Azure,advanced
38,Databricks,advanced
38,SQL,advanced
38,Python,advanced
38,Scala,advanced
38,Big Data,advanced
38,NoSQL,advanced
39,Data Lake,advanced
39,Azure,advanced
39,Azure Data Factory,advanced
39,ETRM,advanced
39,•	Databricks,regular
40,SQL,regular
40,Analytics,regular
40,Git,regular
40,Spark,regular
40,Databricks,regular
40,Power BI,regular
41,SQL,regular
41,PL/SQL,regular
41,PostgreSQL,regular
41,Oracle,regular
41,ETL,regular
41,CI/CD,regular
41,Git,regular
42,English,C1
42,Data Warehousing,advanced
42,Communication,advanced
42,Data Science,advanced
43,Polish,B2
43,English,B2
43,SAS,regular
43,Oracle DB,regular
43,Oracle SQL,regular
43,Azure,regular
43,Apache Kafka,regular
43,REST API,regular
43,DWH,regular
44,English,B2
44,Spark,advanced
44,Snowflake,advanced
44,Databricks,advanced
44,AWS,regular
45,English,C1
45,Azure,advanced
45,Databricks,advanced
45,Data,advanced
45,Machine Learning,regular
46,English,B2
46,SQL,regular
46,Power BI,regular
46,Tableau,regular
46,Python,nice to have
46,R,nice to have
46,Mixpanel,nice to have
46,DBT,nice to have
47,English,C1
47,ETL,advanced
47,Java,advanced
47,SQL,advanced
47,Python,advanced
48,English,C1
48,Polish,C1
48,SQL,junior
48,Big Data,junior
48,Data,junior
49,Polish,C2
49,analiza ruchu marketingowego,advanced
